model,k,fold,ece,k_label
PlackettLuce,2,0,0.10353086648198466,2
PlackettLuce,2,1,0.10407757371043165,2
PlackettLuce,2,2,0.08139975372857104,2
PlackettLuce,2,3,0.15666941568876305,2
PlackettLuce,2,4,0.08761635220920046,2
PlackettLuce,3,0,0.0779749551632752,3
PlackettLuce,3,1,0.07807441071296732,3
PlackettLuce,3,2,0.06820582716803376,3
PlackettLuce,3,3,0.11330205908355613,3
PlackettLuce,3,4,0.06715224842385699,3
PlackettLuce,4,0,0.06687447444225351,4
PlackettLuce,4,1,0.06839944453289111,4
PlackettLuce,4,2,0.06480745164056619,4
PlackettLuce,4,3,0.07946332078427076,4
PlackettLuce,4,4,0.06115064403275028,4
MallowsModel,2,0,0.21363716820875803,2
MallowsModel,2,1,0.2299955189228058,2
MallowsModel,2,2,0.2475483516852061,2
MallowsModel,2,3,0.2552874982357025,2
MallowsModel,2,4,0.22951503098011017,2
MallowsModel,3,0,0.10147888958454132,3
MallowsModel,3,1,0.0850538859764735,3
MallowsModel,3,2,0.11443174133698146,3
MallowsModel,3,3,0.13920199871063232,3
MallowsModel,3,4,0.09477688123782475,3
MallowsModel,4,0,0.07596275955438614,4
MallowsModel,4,1,0.0710372527440389,4
MallowsModel,4,2,0.07425418744484584,4
MallowsModel,4,3,0.09017767012119293,4
MallowsModel,4,4,0.07457869996627171,4
PreferenceModel,2,0,0.09362872084602714,2
PreferenceModel,2,1,0.0995637970045209,2
PreferenceModel,2,2,0.09808397634575765,2
PreferenceModel,2,3,0.1119352588430047,2
PreferenceModel,2,4,0.0936319634007911,2
PreferenceModel,3,0,0.09671933114683877,3
PreferenceModel,3,1,0.09819248567024867,3
PreferenceModel,3,2,0.07630191883072257,3
PreferenceModel,3,3,0.10952862701378763,3
PreferenceModel,3,4,0.08780438701311748,3
PreferenceModel,4,0,0.08358525733153026,4
PreferenceModel,4,1,0.08343301597051322,4
PreferenceModel,4,2,0.07372902791636686,4
PreferenceModel,4,3,0.09366216378596921,4
PreferenceModel,4,4,0.07899153973752011,4
PlackettLuceRPC,2,0,0.20686173563202223,2
PlackettLuceRPC,2,1,0.1550523292583724,2
PlackettLuceRPC,2,2,0.17443165152023235,2
PlackettLuceRPC,2,3,0.2639036538700263,2
PlackettLuceRPC,2,4,0.20497379824519157,2
PlackettLuceRPC,3,0,0.11183340506007274,3
PlackettLuceRPC,3,1,0.0907355253584683,3
PlackettLuceRPC,3,2,0.107334684037293,3
PlackettLuceRPC,3,3,0.14358646546800932,3
PlackettLuceRPC,3,4,0.12697978628178438,3
PlackettLuceRPC,4,0,0.07957526482641697,4
PlackettLuceRPC,4,1,0.07256211557735999,4
PlackettLuceRPC,4,2,0.07866798329632729,4
PlackettLuceRPC,4,3,0.09254150216778119,4
PlackettLuceRPC,4,4,0.08339556725695729,4
RPC,2,0,0.1427663533637921,2
RPC,2,1,0.09352256606022517,2
RPC,2,2,0.12336006760597229,2
RPC,2,3,0.21864134445786476,2
RPC,2,4,0.1494421297684312,2
RPC,3,0,-1.0,3
RPC,3,1,-1.0,3
RPC,3,2,-1.0,3
RPC,3,3,-1.0,3
RPC,3,4,-1.0,3
RPC,4,0,-1.0,4
RPC,4,1,-1.0,4
RPC,4,2,-1.0,4
RPC,4,3,-1.0,4
RPC,4,4,-1.0,4
