model,k,fold,ece,k_label
PlackettLuce,2,0,0.0656519660941796,2
PlackettLuce,2,1,0.06437708430297528,2
PlackettLuce,2,2,0.05027828890917707,2
PlackettLuce,2,3,0.10038854790113,2
PlackettLuce,2,4,0.061848123129598344,2
PlackettLuce,3,0,0.03736180654927803,3
PlackettLuce,3,1,0.03857098242392049,3
PlackettLuce,3,2,0.031996556115780866,3
PlackettLuce,3,3,0.0518099819838288,3
PlackettLuce,3,4,0.033012502972247386,3
PlackettLuce,4,0,0.015891463060395333,4
PlackettLuce,4,1,0.016737437190121076,4
PlackettLuce,4,2,0.01333992569238926,4
PlackettLuce,4,3,0.0190439283402726,4
PlackettLuce,4,4,0.012941662459405678,4
PreferenceModel,2,0,0.07698728366078299,2
PreferenceModel,2,1,0.0713689878432846,2
PreferenceModel,2,2,0.07085541648749097,2
PreferenceModel,2,3,0.08282665470662065,2
PreferenceModel,2,4,0.06958738635176548,2
PreferenceModel,3,0,0.053761443464799295,3
PreferenceModel,3,1,0.04726182610415083,3
PreferenceModel,3,2,0.0416661870535407,3
PreferenceModel,3,3,0.055967336218578335,3
PreferenceModel,3,4,0.04416163405673954,3
PreferenceModel,4,0,0.022342652215617955,4
PreferenceModel,4,1,0.018786487458931942,4
PreferenceModel,4,2,0.015930202309099254,4
PreferenceModel,4,3,0.022849986249609794,4
PreferenceModel,4,4,0.018152929608230336,4
PlackettLuceRPC,2,0,0.14085676380992676,2
PlackettLuceRPC,2,1,0.1042749908824308,2
PlackettLuceRPC,2,2,0.12571984560632832,2
PlackettLuceRPC,2,3,0.1557710546191142,2
PlackettLuceRPC,2,4,0.1308733811540849,2
PlackettLuceRPC,3,0,0.07133356867645757,3
PlackettLuceRPC,3,1,0.05913711292361292,3
PlackettLuceRPC,3,2,0.06924107142800771,3
PlackettLuceRPC,3,3,0.0827178438571564,3
PlackettLuceRPC,3,4,0.0725318710800646,3
PlackettLuceRPC,4,0,0.024839010858069915,4
PlackettLuceRPC,4,1,0.024668267844993055,4
PlackettLuceRPC,4,2,0.024512359502409254,4
PlackettLuceRPC,4,3,0.030332020191814413,4
PlackettLuceRPC,4,4,0.0282126307257009,4
RPC,2,0,0.09320558597075339,2
RPC,2,1,0.08129639392384065,2
RPC,2,2,0.10915950957936306,2
RPC,2,3,0.15221781523973502,2
RPC,2,4,0.1009100962430239,2
RPC,3,0,-1.0,3
RPC,3,1,-1.0,3
RPC,3,2,-1.0,3
RPC,3,3,-1.0,3
RPC,3,4,-1.0,3
RPC,4,0,-1.0,4
RPC,4,1,-1.0,4
RPC,4,2,-1.0,4
RPC,4,3,-1.0,4
RPC,4,4,-1.0,4
