model,k,fold,ece,k_label
PlackettLuce,2,0,0.04569755852979258,2
PlackettLuce,2,1,0.04981973688296016,2
PlackettLuce,2,2,0.03708720178536399,2
PlackettLuce,2,3,0.0911767549165118,2
PlackettLuce,2,4,0.04783835548011075,2
PlackettLuce,3,0,0.03953917515112815,3
PlackettLuce,3,1,0.04318724262390918,3
PlackettLuce,3,2,0.034495612105751035,3
PlackettLuce,3,3,0.06207345882094593,3
PlackettLuce,3,4,0.03814944019019989,3
PlackettLuce,4,0,0.01979811639109628,4
PlackettLuce,4,1,0.019862163601662777,4
PlackettLuce,4,2,0.016581255986076873,4
PlackettLuce,4,3,0.02439260990800066,4
PlackettLuce,4,4,0.01706375308606492,4
PreferenceModel,2,0,0.06911949813618513,2
PreferenceModel,2,1,0.0736172118661685,2
PreferenceModel,2,2,0.05982170017586979,2
PreferenceModel,2,3,0.08603599327542479,2
PreferenceModel,2,4,0.06863202293295347,2
PreferenceModel,3,0,0.05333228470224665,3
PreferenceModel,3,1,0.04960762003045399,3
PreferenceModel,3,2,0.043704885845092196,3
PreferenceModel,3,3,0.060069436151284857,3
PreferenceModel,3,4,0.047219467039256065,3
PreferenceModel,4,0,0.02417822379365094,4
PreferenceModel,4,1,0.020861289704983983,4
PreferenceModel,4,2,0.0186195063244995,4
PreferenceModel,4,3,0.024447944601804855,4
PreferenceModel,4,4,0.020597369623757054,4
PlackettLuceRPC,2,0,0.1226194054976701,2
PlackettLuceRPC,2,1,0.10280859460666153,2
PlackettLuceRPC,2,2,0.11098527170704782,2
PlackettLuceRPC,2,3,0.1563319108284463,2
PlackettLuceRPC,2,4,0.12608930281047442,2
PlackettLuceRPC,3,0,0.08754403275358207,3
PlackettLuceRPC,3,1,0.07058185815098807,3
PlackettLuceRPC,3,2,0.07949198272595707,3
PlackettLuceRPC,3,3,0.099527873008536,3
PlackettLuceRPC,3,4,0.08656499962313637,3
PlackettLuceRPC,4,0,0.0328280124193355,4
PlackettLuceRPC,4,1,0.02928066161953283,4
PlackettLuceRPC,4,2,0.027905194070799985,4
PlackettLuceRPC,4,3,0.03713803871413268,4
PlackettLuceRPC,4,4,0.03394808400734623,4
RPC,2,0,0.10933357948084643,2
RPC,2,1,0.08824428922075424,2
RPC,2,2,0.08806499798961413,2
RPC,2,3,0.130639939352275,2
RPC,2,4,0.10469659415650225,2
RPC,3,0,-1.0,3
RPC,3,1,-1.0,3
RPC,3,2,-1.0,3
RPC,3,3,-1.0,3
RPC,3,4,-1.0,3
RPC,4,0,-1.0,4
RPC,4,1,-1.0,4
RPC,4,2,-1.0,4
RPC,4,3,-1.0,4
RPC,4,4,-1.0,4
