model,k,fold,ece,k_label
PlackettLuce,2,0,0.16505630314350128,2
PlackettLuce,2,1,0.15705084800720215,2
PlackettLuce,2,2,0.12381608039140701,2
PlackettLuce,2,3,0.23340220749378204,2
PlackettLuce,2,4,0.16068986058235168,2
PlackettLuce,3,0,0.24301829934120178,3
PlackettLuce,3,1,0.24251580238342285,3
PlackettLuce,3,2,0.18753468990325928,3
PlackettLuce,3,3,0.2895175516605377,3
PlackettLuce,3,4,0.2035921812057495,3
PlackettLuce,4,0,0.35900983214378357,4
PlackettLuce,4,1,0.35096997022628784,4
PlackettLuce,4,2,0.2942056655883789,4
PlackettLuce,4,3,0.3573637008666992,4
PlackettLuce,4,4,0.2569093108177185,4
PreferenceModel,2,0,0.1657690852880478,2
PreferenceModel,2,1,0.1552232950925827,2
PreferenceModel,2,2,0.1541055142879486,2
PreferenceModel,2,3,0.16920281946659088,2
PreferenceModel,2,4,0.14400847256183624,2
PreferenceModel,3,0,0.26898959279060364,3
PreferenceModel,3,1,0.27141857147216797,3
PreferenceModel,3,2,0.23624859750270844,3
PreferenceModel,3,3,0.2846267819404602,3
PreferenceModel,3,4,0.23101507127285004,3
PreferenceModel,4,0,0.41319701075553894,4
PreferenceModel,4,1,0.41280853748321533,4
PreferenceModel,4,2,0.3597020208835602,4
PreferenceModel,4,3,0.44266653060913086,4
PreferenceModel,4,4,0.3409026265144348,4
PlackettLuceRPC,2,0,0.22189682722091675,2
PlackettLuceRPC,2,1,0.22054655849933624,2
PlackettLuceRPC,2,2,0.23343448340892792,2
PlackettLuceRPC,2,3,0.35017693042755127,2
PlackettLuceRPC,2,4,0.23303347826004028,2
PlackettLuceRPC,3,0,0.30034658312797546,3
PlackettLuceRPC,3,1,0.30931636691093445,3
PlackettLuceRPC,3,2,0.2974856197834015,3
PlackettLuceRPC,3,3,0.3741632401943207,3
PlackettLuceRPC,3,4,0.3042577803134918,3
PlackettLuceRPC,4,0,0.39969271421432495,4
PlackettLuceRPC,4,1,0.4031965136528015,4
PlackettLuceRPC,4,2,0.3619183897972107,4
PlackettLuceRPC,4,3,0.4183560311794281,4
PlackettLuceRPC,4,4,0.3682328462600708,4
RPC,2,0,0.18252135813236237,2
RPC,2,1,0.19001750648021698,2
RPC,2,2,0.182705819606781,2
RPC,2,3,0.30508729815483093,2
RPC,2,4,0.20647984743118286,2
RPC,3,0,-1.0,3
RPC,3,1,-1.0,3
RPC,3,2,-1.0,3
RPC,3,3,-1.0,3
RPC,3,4,-1.0,3
RPC,4,0,-1.0,4
RPC,4,1,-1.0,4
RPC,4,2,-1.0,4
RPC,4,3,-1.0,4
RPC,4,4,-1.0,4
