model,k,fold,ece,k_label
PlackettLuce,2,0,0.1353151500225067,2
PlackettLuce,2,1,0.13748589158058167,2
PlackettLuce,2,2,0.10325219482183456,2
PlackettLuce,2,3,0.20980709791183472,2
PlackettLuce,2,4,0.1325974315404892,2
PlackettLuce,3,0,0.23543262481689453,3
PlackettLuce,3,1,0.24061822891235352,3
PlackettLuce,3,2,0.18882447481155396,3
PlackettLuce,3,3,0.29281070828437805,3
PlackettLuce,3,4,0.20620878040790558,3
PlackettLuce,4,0,0.376587450504303,4
PlackettLuce,4,1,0.3820745646953583,4
PlackettLuce,4,2,0.32929202914237976,4
PlackettLuce,4,3,0.38683009147644043,4
PlackettLuce,4,4,0.2950194180011749,4
PreferenceModel,2,0,0.15770778059959412,2
PreferenceModel,2,1,0.14718793332576752,2
PreferenceModel,2,2,0.13497598469257355,2
PreferenceModel,2,3,0.15150779485702515,2
PreferenceModel,2,4,0.13739104568958282,2
PreferenceModel,3,0,0.28335806727409363,3
PreferenceModel,3,1,0.2773398160934448,3
PreferenceModel,3,2,0.24487414956092834,3
PreferenceModel,3,3,0.29414331912994385,3
PreferenceModel,3,4,0.2395341843366623,3
PreferenceModel,4,0,0.45548027753829956,4
PreferenceModel,4,1,0.4352525770664215,4
PreferenceModel,4,2,0.4087086319923401,4
PreferenceModel,4,3,0.4793412685394287,4
PreferenceModel,4,4,0.36161643266677856,4
PlackettLuceRPC,2,0,0.23485010862350464,2
PlackettLuceRPC,2,1,0.2009994387626648,2
PlackettLuceRPC,2,2,0.21565748751163483,2
PlackettLuceRPC,2,3,0.29156750440597534,2
PlackettLuceRPC,2,4,0.21745185554027557,2
PlackettLuceRPC,3,0,0.31034940481185913,3
PlackettLuceRPC,3,1,0.30895254015922546,3
PlackettLuceRPC,3,2,0.2881633937358856,3
PlackettLuceRPC,3,3,0.3746878504753113,3
PlackettLuceRPC,3,4,0.31090787053108215,3
PlackettLuceRPC,4,0,0.4150410294532776,4
PlackettLuceRPC,4,1,0.42830437421798706,4
PlackettLuceRPC,4,2,0.39896664023399353,4
PlackettLuceRPC,4,3,0.47344523668289185,4
PlackettLuceRPC,4,4,0.4234835207462311,4
RPC,2,0,0.20042718946933746,2
RPC,2,1,0.20190320909023285,2
RPC,2,2,0.19514794647693634,2
RPC,2,3,0.29361575841903687,2
RPC,2,4,0.22749781608581543,2
RPC,3,0,-1.0,3
RPC,3,1,-1.0,3
RPC,3,2,-1.0,3
RPC,3,3,-1.0,3
RPC,3,4,-1.0,3
RPC,4,0,-1.0,4
RPC,4,1,-1.0,4
RPC,4,2,-1.0,4
RPC,4,3,-1.0,4
RPC,4,4,-1.0,4
