model,k,fold,ece,k_label
PlackettLuce,2,0,0.14616743864025922,2
PlackettLuce,2,1,0.14294949199797377,2
PlackettLuce,2,2,0.16602437007758356,2
PlackettLuce,2,3,0.16411100932293465,2
PlackettLuce,2,4,0.270276020796478,2
PlackettLuce,3,0,0.114156004641619,3
PlackettLuce,3,1,0.10467051326090264,3
PlackettLuce,3,2,0.12734684861886003,3
PlackettLuce,3,3,0.13155820389381714,3
PlackettLuce,3,4,0.14323876296273533,3
MallowsModel,2,0,0.1459276626507441,2
MallowsModel,2,1,0.07654975851376851,2
MallowsModel,2,2,0.10510086019833882,2
MallowsModel,2,3,0.1585250993569692,2
MallowsModel,2,4,0.177777831753095,2
MallowsModel,3,0,0.09426537528634071,3
MallowsModel,3,1,0.0906113622089227,3
MallowsModel,3,2,0.0884790966908137,3
MallowsModel,3,3,0.10296955828865369,3
MallowsModel,3,4,0.09909012541174889,3
PreferenceModel,2,0,0.18473609707111285,2
PreferenceModel,2,1,0.17327086987433074,2
PreferenceModel,2,2,0.21370791780451934,2
PreferenceModel,2,3,0.196412153252297,2
PreferenceModel,2,4,0.21350767476121998,2
PreferenceModel,3,0,0.089471442417966,3
PreferenceModel,3,1,0.10210381661438278,3
PreferenceModel,3,2,0.11325347367674114,3
PreferenceModel,3,3,0.1457188606883089,3
PreferenceModel,3,4,0.12096039998448556,3
PlackettLuceRPC,2,0,0.03205897962777978,2
PlackettLuceRPC,2,1,0.005448447647763209,2
PlackettLuceRPC,2,2,0.015526562380061176,2
PlackettLuceRPC,2,3,0.08468161245497563,2
PlackettLuceRPC,2,4,0.08763841055333614,2
PlackettLuceRPC,3,0,0.013415547634672334,3
PlackettLuceRPC,3,1,0.003143229891865048,3
PlackettLuceRPC,3,2,0.013630808702909147,3
PlackettLuceRPC,3,3,0.06634143425431245,3
PlackettLuceRPC,3,4,0.06592763387462829,3
RPC,2,0,0.322222220318185,2
RPC,2,1,0.22222222354676988,2
RPC,2,2,0.12222222064932187,2
RPC,2,3,0.3111111073444287,2
RPC,2,4,0.24444444796277418,2
RPC,3,0,-1.0,3
RPC,3,1,-1.0,3
RPC,3,2,-1.0,3
RPC,3,3,-1.0,3
RPC,3,4,-1.0,3
