model,k,fold,ece,k_label
PlackettLuce,2,0,0.23117198050022125,2
PlackettLuce,2,1,0.22344739735126495,2
PlackettLuce,2,2,0.25244179368019104,2
PlackettLuce,2,3,0.2432544231414795,2
PlackettLuce,2,4,0.2513512372970581,2
PlackettLuce,3,0,0.5406197905540466,3
PlackettLuce,3,1,0.40857410430908203,3
PlackettLuce,3,2,0.5046905279159546,3
PlackettLuce,3,3,0.582414984703064,3
PlackettLuce,3,4,0.380330890417099,3
MallowsModel,2,0,0.2918553352355957,2
MallowsModel,2,1,0.15309953689575195,2
MallowsModel,2,2,0.21020175516605377,2
MallowsModel,2,3,0.31705018877983093,2
MallowsModel,2,4,0.3635126054286957,2
MallowsModel,3,0,0.5731314420700073,3
MallowsModel,3,1,0.5466648936271667,3
MallowsModel,3,2,0.5381439924240112,3
MallowsModel,3,3,0.6178172826766968,3
MallowsModel,3,4,0.6022161841392517,3
PreferenceModel,2,0,0.23174719512462616,2
PreferenceModel,2,1,0.20198838412761688,2
PreferenceModel,2,2,0.24966366589069366,2
PreferenceModel,2,3,0.22974056005477905,2
PreferenceModel,2,4,0.23070849478244781,2
PreferenceModel,3,0,0.43027737736701965,3
PreferenceModel,3,1,0.28783759474754333,3
PreferenceModel,3,2,0.575313150882721,3
PreferenceModel,3,3,0.4400986135005951,3
PreferenceModel,3,4,0.4582575857639313,3
PlackettLuceRPC,2,0,0.0641268864274025,2
PlackettLuceRPC,2,1,0.007216747850179672,2
PlackettLuceRPC,2,2,0.026426605880260468,2
PlackettLuceRPC,2,3,0.17523211240768433,2
PlackettLuceRPC,2,4,0.1746608167886734,2
PlackettLuceRPC,3,0,0.08321408182382584,3
PlackettLuceRPC,3,1,0.015542447566986084,3
PlackettLuceRPC,3,2,0.08394264429807663,3
PlackettLuceRPC,3,3,0.4056612551212311,3
PlackettLuceRPC,3,4,0.40374648571014404,3
RPC,2,0,0.6444444060325623,2
RPC,2,1,0.4444444179534912,2
RPC,2,2,0.24444444477558136,2
RPC,2,3,0.6222222447395325,2
RPC,2,4,0.4888888895511627,2
RPC,3,0,-1.0,3
RPC,3,1,-1.0,3
RPC,3,2,-1.0,3
RPC,3,3,-1.0,3
RPC,3,4,-1.0,3
