model,k,fold,ece,k_label
PlackettLuce,1,0,0.12442958961797153,1
PlackettLuce,1,1,0.15545064883513585,1
PlackettLuce,1,2,0.1336043616446356,1
PlackettLuce,1,3,0.1981771482879089,1
PlackettLuce,1,4,0.16093699294659827,1
PlackettLuce,2,0,0.11415595165971253,2
PlackettLuce,2,1,0.10467046218303343,2
PlackettLuce,2,2,0.1273468072267456,2
PlackettLuce,2,3,0.13155817003506753,2
PlackettLuce,2,4,0.1432387162724303,2
MallowsModel,1,0,0.11981216569741567,1
MallowsModel,1,1,0.08216663698355357,1
MallowsModel,1,2,0.06848512589931488,1
MallowsModel,1,3,0.1671699434518814,1
MallowsModel,1,4,0.19818021853764853,1
MallowsModel,2,0,0.09426536286870639,2
MallowsModel,2,1,0.09061135724186897,2
MallowsModel,2,2,0.08847908924023311,2
MallowsModel,2,3,0.10296955704689026,2
MallowsModel,2,4,0.09909011796116829,2
PreferenceModel,1,0,0.14973917522778113,1
PreferenceModel,1,1,0.17379105812352566,1
PreferenceModel,1,2,0.17921437434852125,1
PreferenceModel,1,3,0.11569614526298311,1
PreferenceModel,1,4,0.16779927969392805,1
PreferenceModel,2,0,0.08805456055431728,2
PreferenceModel,2,1,0.10450664752344084,2
PreferenceModel,2,2,0.11424524330844482,2
PreferenceModel,2,3,0.15792370529638397,2
PreferenceModel,2,4,0.1328082737668107,2
PlackettLuceRPC,1,0,0.02136404469751633,1
PlackettLuceRPC,1,1,0.0035712479438487614,1
PlackettLuceRPC,1,2,0.0037913032143812586,1
PlackettLuceRPC,1,3,0.03980983260513556,1
PlackettLuceRPC,1,4,0.0656281579076649,1
PlackettLuceRPC,2,0,0.013415529235877471,2
PlackettLuceRPC,2,1,0.003143205718870222,2
PlackettLuceRPC,2,2,0.013630791318221085,2
PlackettLuceRPC,2,3,0.06634143212261856,2
PlackettLuceRPC,2,4,0.06592762522367636,2
RPC,1,0,0.8666666825612386,1
RPC,1,1,0.7333333421084616,1
RPC,1,2,0.7333333472410839,1
RPC,1,3,0.8444444553719627,1
RPC,1,4,0.7555555767483182,1
RPC,2,0,-1.0,2
RPC,2,1,-1.0,2
RPC,2,2,-1.0,2
RPC,2,3,-1.0,2
RPC,2,4,-1.0,2
