model,k,fold,ece,k_label
PlackettLuce,1,0,0.31142666935920715,1
PlackettLuce,1,1,0.2575474679470062,1
PlackettLuce,1,2,0.28898611664772034,1
PlackettLuce,1,3,0.3885194957256317,1
PlackettLuce,1,4,0.2759248614311218,1
PlackettLuce,2,0,0.5406197905540466,2
PlackettLuce,2,1,0.40857407450675964,2
PlackettLuce,2,2,0.5046904683113098,2
PlackettLuce,2,3,0.5824148058891296,2
PlackettLuce,2,4,0.3803309500217438,2
MallowsModel,1,0,0.3594365417957306,1
MallowsModel,1,1,0.24649986624717712,1
MallowsModel,1,2,0.20545533299446106,1
MallowsModel,1,3,0.5015099048614502,1
MallowsModel,1,4,0.5945407152175903,1
MallowsModel,2,0,0.5731314420700073,2
MallowsModel,2,1,0.5466648936271667,2
MallowsModel,2,2,0.5381439924240112,2
MallowsModel,2,3,0.6178172826766968,2
MallowsModel,2,4,0.6022163033485413,2
PreferenceModel,1,0,0.16530530154705048,1
PreferenceModel,1,1,0.1710374653339386,1
PreferenceModel,1,2,0.18010301887989044,1
PreferenceModel,1,3,0.2448137402534485,1
PreferenceModel,1,4,0.25998252630233765,1
PreferenceModel,2,0,0.41593897342681885,2
PreferenceModel,2,1,0.33834847807884216,2
PreferenceModel,2,2,0.597807765007019,2
PreferenceModel,2,3,0.4539019465446472,2
PreferenceModel,2,4,0.4828924834728241,2
PlackettLuceRPC,1,0,0.06666859239339828,1
PlackettLuceRPC,1,1,0.10000114887952805,1
PlackettLuceRPC,1,2,0.03529570251703262,1
PlackettLuceRPC,1,3,0.0666685402393341,1
PlackettLuceRPC,1,4,0.03333522379398346,1
PlackettLuceRPC,2,0,0.6000011563301086,2
PlackettLuceRPC,2,1,0.5733352303504944,2
PlackettLuceRPC,2,2,0.6666679978370667,2
PlackettLuceRPC,2,3,0.6333338618278503,2
PlackettLuceRPC,2,4,0.4848484992980957,2
RPC,1,0,2.5886361598968506,1
RPC,1,1,2.200000047683716,1
RPC,1,2,2.200000047683716,1
RPC,1,3,2.5280699729919434,1
RPC,1,4,2.2666666507720947,1
RPC,2,0,-1.0,2
RPC,2,1,-1.0,2
RPC,2,2,-1.0,2
RPC,2,3,-1.0,2
RPC,2,4,-1.0,2
