model,k,fold,ece,k_label
PlackettLuce,2,0,0.5023923468763705,2
PlackettLuce,2,1,0.5000000029575365,2
PlackettLuce,2,2,0.5000000008269171,2
PlackettLuce,2,3,0.5000000011757386,2
PlackettLuce,2,4,0.5000000034910425,2
PlackettLuce,3,0,0.1875515283663675,3
PlackettLuce,3,1,0.18091451617789395,3
PlackettLuce,3,2,0.18324607622004344,3
PlackettLuce,3,3,0.18265756980018144,3
PlackettLuce,3,4,0.18533605207166803,3
PlackettLuce,4,0,0.0791717431691557,4
PlackettLuce,4,1,0.07405197334368611,4
PlackettLuce,4,2,0.07763180477238381,4
PlackettLuce,4,3,0.07564003229716257,4
PlackettLuce,4,4,0.0774380226301182,4
PlackettLuce,5,0,0.044605193504642045,5
PlackettLuce,5,1,0.04177505806306153,5
PlackettLuce,5,2,0.04404517530227732,5
PlackettLuce,5,3,0.042341098205592245,5
PlackettLuce,5,4,0.043072907666871364,5
PlackettLuce,6,0,0.03147600826768819,6
PlackettLuce,6,1,0.030026877658143894,6
PlackettLuce,6,2,0.03132941950208387,6
PlackettLuce,6,3,0.029963062981498565,6
PlackettLuce,6,4,0.030337562662851834,6
PlackettLuce,7,0,0.025667412932478123,7
PlackettLuce,7,1,0.024883702410531887,7
PlackettLuce,7,2,0.02567652802512907,7
PlackettLuce,7,3,0.02459542755798804,7
PlackettLuce,7,4,0.024861302500056064,7
PlackettLuce,8,0,0.022826920134464055,8
PlackettLuce,8,1,0.02235578208367257,8
PlackettLuce,8,2,0.0228550527822022,8
PlackettLuce,8,3,0.022040313359720377,8
PlackettLuce,8,4,0.0222433463303682,8
PlackettLuce,9,0,0.02133518652927204,9
PlackettLuce,9,1,0.021024200189616867,9
PlackettLuce,9,2,0.02131955509208648,9
PlackettLuce,9,3,0.02075437300936959,9
PlackettLuce,9,4,0.020891684953356384,9
PlackettLuce,10,0,0.020498013976770067,10
PlackettLuce,10,1,0.02028971828006656,10
PlackettLuce,10,2,0.02043162951804135,10
PlackettLuce,10,3,0.020079972456975716,10
PlackettLuce,10,4,0.020152063479699504,10
PlackettLuce,11,0,0.01999619149216179,11
PlackettLuce,11,1,0.019869574367386178,11
PlackettLuce,11,2,0.019899990080764596,11
PlackettLuce,11,3,0.01970919933765771,11
PlackettLuce,11,4,0.019729425314333044,11
PlackettLuce,12,0,0.019678228812810894,12
PlackettLuce,12,1,0.019617142650264374,12
PlackettLuce,12,2,0.01957831353406461,12
