model,k,fold,ece,k_label
PlackettLuce,1,0,0.1600000017503936,1
PlackettLuce,1,1,0.16333333091574417,1
PlackettLuce,1,2,0.19600000034192908,1
PlackettLuce,1,3,0.1599999948113127,1
PlackettLuce,1,4,0.1371428576430581,1
PlackettLuce,2,0,0.0639999979687439,2
PlackettLuce,2,1,0.06399999980816877,2
PlackettLuce,2,2,0.06399999840537116,2
PlackettLuce,2,3,0.053333333673756755,2
PlackettLuce,2,4,0.05052631460182375,2
PlackettLuce,3,0,0.039999999351103876,3
PlackettLuce,3,1,0.034285713517882836,3
PlackettLuce,3,2,0.03692307585986089,3
PlackettLuce,3,3,0.03310344771618144,3
PlackettLuce,3,4,0.0299999992945079,3
PlackettLuce,4,0,0.030967741193897575,4
PlackettLuce,4,1,0.024615383969052537,4
PlackettLuce,4,2,0.029090908479023667,4
PlackettLuce,4,3,0.02526315727274609,4
PlackettLuce,4,4,0.024615384036524437,4
PlackettLuce,5,0,0.02666666592376957,5
PlackettLuce,5,1,0.02232558080933815,5
PlackettLuce,5,2,0.02526315736401352,5
PlackettLuce,5,3,0.02181818128010791,5
PlackettLuce,5,4,0.023414633505136326,5
PlackettLuce,6,0,0.024615384025173596,6
PlackettLuce,6,1,0.02086956467252237,6
PlackettLuce,6,2,0.02399999940203215,6
PlackettLuce,6,3,0.020425531419248803,6
PlackettLuce,6,4,0.021333332748992566,6
PlackettLuce,7,0,0.021818181211227274,7
PlackettLuce,7,1,0.019999999477883154,7
PlackettLuce,7,2,0.02232558083981744,7
PlackettLuce,7,3,0.01959183625252593,7
PlackettLuce,7,4,0.020425531356471297,7
PlackettLuce,8,0,0.018823528896711614,8
PlackettLuce,8,1,0.019199999495894404,8
PlackettLuce,8,2,0.02086956469765684,8
PlackettLuce,8,3,0.01846153801132668,8
PlackettLuce,8,4,0.01959183620172655,8
PlackettLuce,9,0,0.01846153795218932,9
PlackettLuce,9,1,0.01882352891780163,9
PlackettLuce,9,2,0.019591836247233558,9
PlackettLuce,9,3,0.01846153800648004,9
PlackettLuce,9,4,0.019591836197996825,9
PlackettLuce,10,0,0.018461537948064825,10
PlackettLuce,10,1,0.018823528919159834,10
PlackettLuce,10,2,0.01882352894289079,10
PlackettLuce,10,3,0.0184615380063957,10
PlackettLuce,10,4,0.0191999994908501,10
PlackettLuce,11,0,0.01846153794780753,11
PlackettLuce,11,1,0.018461537976306983,11
PlackettLuce,11,2,0.01846153800180786,11
PlackettLuce,11,3,0.01846153800619023,11
PlackettLuce,11,4,0.018461537969080136,11
PlackettLuce,12,0,0.01846153796887706,12
PlackettLuce,12,1,0.018461537988229165,12
PlackettLuce,12,2,0.018461538003464853,12
PlackettLuce,12,3,0.018461538009557833,12
PlackettLuce,12,4,0.018461537956596205,12
PlackettLuce,13,0,0.01846153794773351,13
PlackettLuce,13,1,0.018461537976554882,13
PlackettLuce,13,2,0.01846153800170693,13
PlackettLuce,13,3,0.01846153800626179,13
PlackettLuce,13,4,0.018461537959300292,13
PlackettLuce,14,0,0.018461537952259438,14
PlackettLuce,14,1,0.018461537980440198,14
PlackettLuce,14,2,0.018461538003249726,14
PlackettLuce,14,3,0.0184615380137561,14
PlackettLuce,14,4,0.018461537963882897,14
MallowsModel,1,0,0.1600000002968543,1
MallowsModel,1,1,0.163333329520043,1
MallowsModel,1,2,0.19599999898683113,1
MallowsModel,1,3,0.15999999428540204,1
MallowsModel,1,4,0.13714285572997395,1
MallowsModel,2,0,0.06399999738741166,2
MallowsModel,2,1,0.0639999992500137,2
MallowsModel,2,2,0.06399999795483087,2
MallowsModel,2,3,0.053333333498398375,2
MallowsModel,2,4,0.050526313898106495,2
MallowsModel,3,0,0.039999998987800954,3
MallowsModel,3,1,0.03428571321960215,3
MallowsModel,3,2,0.03692307559926311,3
MallowsModel,3,3,0.033103447607381764,3
MallowsModel,3,4,0.02999999887602949,3
MallowsModel,4,0,0.03096774091634185,4
MallowsModel,4,1,0.024615383753980407,4
MallowsModel,4,2,0.029090908273951038,4
MallowsModel,4,3,0.02526315718979986,4
