model,k,fold,ece,k_label
PlackettLuce,2,0,0.36846248706181844,2
PlackettLuce,2,1,0.49600849449634554,2
PlackettLuce,2,2,0.4002965201934179,2
PlackettLuce,2,3,0.4771511107683182,2
PlackettLuce,2,4,0.4319273660580317,2
PlackettLuce,3,0,0.21181468218564986,3
PlackettLuce,3,1,0.2743663464983304,3
PlackettLuce,3,2,0.1993849382425348,3
PlackettLuce,3,3,0.2671505743637681,3
PlackettLuce,3,4,0.21246978566050528,3
PlackettLuce,4,0,0.09401445442603694,4
PlackettLuce,4,1,0.10027151049839125,4
PlackettLuce,4,2,0.06955429816411601,4
PlackettLuce,4,3,0.09660801837841669,4
PlackettLuce,4,4,0.0637967268211974,4
PlackettLuce,5,0,0.029910189606663255,5
PlackettLuce,5,1,0.023889920653568375,5
PlackettLuce,5,2,0.01762513689075907,5
PlackettLuce,5,3,0.022326685426135858,5
PlackettLuce,5,4,0.013489291154676014,5
PlackettLuce,6,0,0.006739832347051965,6
PlackettLuce,6,1,0.0029664421247111426,6
PlackettLuce,6,2,0.0035006160330441263,6
PlackettLuce,6,3,0.003546178796225124,6
PlackettLuce,6,4,0.0010821478958759044,6
MallowsModel,2,0,0.30230821669101715,2
MallowsModel,2,1,0.3033459266026815,2
MallowsModel,2,2,0.3008542895317078,2
MallowsModel,2,3,0.2766096522410711,2
MallowsModel,2,4,0.21433482567469278,2
MallowsModel,3,0,0.05084661096334457,3
MallowsModel,3,1,0.055892520646254225,3
MallowsModel,3,2,0.05716351134081681,3
MallowsModel,3,3,0.026560226331154506,3
MallowsModel,3,4,0.02124057834347089,3
MallowsModel,4,0,0.003075747357474433,4
MallowsModel,4,1,0.004757534091671308,4
MallowsModel,4,2,0.005005787768297725,4
MallowsModel,4,3,0.0,4
MallowsModel,4,4,0.0,4
MallowsModel,5,0,0.0,5
MallowsModel,5,1,0.0,5
MallowsModel,5,2,0.0,5
MallowsModel,5,3,0.0,5
MallowsModel,5,4,0.0,5
MallowsModel,6,0,0.0,6
MallowsModel,6,1,0.0,6
MallowsModel,6,2,0.0,6
MallowsModel,6,3,0.0,6
MallowsModel,6,4,0.0,6
PreferenceModel,2,0,0.3014910325407982,2
PreferenceModel,2,1,0.33949501340587934,2
PreferenceModel,2,2,0.33588201900323233,2
PreferenceModel,2,3,0.3984657461444537,2
PreferenceModel,2,4,0.3828882336616516,2
PreferenceModel,3,0,0.11934571495900552,3
PreferenceModel,3,1,0.10952184069901705,3
PreferenceModel,3,2,0.1269116535782814,3
PreferenceModel,3,3,0.1649847250431776,3
PreferenceModel,3,4,0.14092117014030617,3
PreferenceModel,4,0,0.0391661670886808,4
PreferenceModel,4,1,0.028828521962794992,4
PreferenceModel,4,2,0.037774540732304254,4
PreferenceModel,4,3,0.05717169278197819,4
PreferenceModel,4,4,0.03970220970610778,4
PreferenceModel,5,0,0.008584448384741943,5
PreferenceModel,5,1,0.004402751082347499,5
PreferenceModel,5,2,0.00802718505470289,5
PreferenceModel,5,3,0.013701584893796179,5
PreferenceModel,5,4,0.006850473344739941,5
PreferenceModel,6,0,0.0006957120986448394,6
PreferenceModel,6,1,0.0006673154317670398,6
PreferenceModel,6,2,0.0011401124712493685,6
PreferenceModel,6,3,0.0024535296691788567,6
PreferenceModel,6,4,0.0010589214766191111,6
PlackettLuceRPC,2,0,0.3194980432589849,2
PlackettLuceRPC,2,1,0.33736928800741833,2
PlackettLuceRPC,2,2,0.3224732538064321,2
PlackettLuceRPC,2,3,0.3820052037636439,2
PlackettLuceRPC,2,4,0.3264884452025096,2
PlackettLuceRPC,3,0,0.11101113141824802,3
PlackettLuceRPC,3,1,0.10797795554002126,3
PlackettLuceRPC,3,2,0.09590329204996427,3
PlackettLuceRPC,3,3,0.09217725638300181,3
PlackettLuceRPC,3,4,0.10869727979103724,3
PlackettLuceRPC,4,0,0.022068449896242882,4
PlackettLuceRPC,4,1,0.019095646838347118,4
PlackettLuceRPC,4,2,0.019844825979736115,4
PlackettLuceRPC,4,3,0.010650380245513387,4
PlackettLuceRPC,4,4,0.02405428346246481,4
PlackettLuceRPC,5,0,0.0010270154310597314,5
PlackettLuceRPC,5,1,0.0003607596374220318,5
PlackettLuceRPC,5,2,0.0026816412806510924,5
PlackettLuceRPC,5,3,0.0,5
PlackettLuceRPC,5,4,0.0025589636216561,5
PlackettLuceRPC,6,0,0.0,6
PlackettLuceRPC,6,1,0.0,6
PlackettLuceRPC,6,2,0.0,6
PlackettLuceRPC,6,3,0.0,6
PlackettLuceRPC,6,4,0.0,6
RPC,2,0,0.18811507547895115,2
RPC,2,1,0.21246497084697089,2
RPC,2,2,0.20435124437014263,2
RPC,2,3,0.23564653272430103,2
RPC,2,4,0.24036763608455658,2
RPC,3,0,-1.0,3
RPC,3,1,-1.0,3
RPC,3,2,-1.0,3
RPC,3,3,-1.0,3
RPC,3,4,-1.0,3
RPC,4,0,-1.0,4
RPC,4,1,-1.0,4
RPC,4,2,-1.0,4
RPC,4,3,-1.0,4
RPC,4,4,-1.0,4
RPC,5,0,-1.0,5
RPC,5,1,-1.0,5
RPC,5,2,-1.0,5
RPC,5,3,-1.0,5
RPC,5,4,-1.0,5
RPC,6,0,-1.0,6
RPC,6,1,-1.0,6
RPC,6,2,-1.0,6
RPC,6,3,-1.0,6
RPC,6,4,-1.0,6
