model,k,fold,ece,k_label
PlackettLuce,2,0,0.0878530907134215,2
PlackettLuce,2,1,0.11185933214922746,2
PlackettLuce,2,2,0.11530170999467373,2
PlackettLuce,2,3,0.12655476244787375,2
PlackettLuce,2,4,0.11535394030312697,2
PlackettLuce,3,0,0.06767615231316691,3
PlackettLuce,3,1,0.08323971903688895,3
PlackettLuce,3,2,0.08473480922596839,3
PlackettLuce,3,3,0.09157488280688994,3
PlackettLuce,3,4,0.08306280438167353,3
PlackettLuce,4,0,0.03922872377506792,4
PlackettLuce,4,1,0.045795770673430526,4
PlackettLuce,4,2,0.05358634209183543,4
PlackettLuce,4,3,0.04558491310805645,4
PlackettLuce,4,4,0.047309098885549856,4
PlackettLuce,5,0,0.040024952862101296,5
PlackettLuce,5,1,0.042091316843127266,5
PlackettLuce,5,2,0.05441801261697239,5
PlackettLuce,5,3,0.039621503431569886,5
PlackettLuce,5,4,0.04478511793023346,5
PlackettLuce,6,0,0.06229635338256938,6
PlackettLuce,6,1,0.06396819989184022,6
PlackettLuce,6,2,0.0790428733003662,6
PlackettLuce,6,3,0.05946337931058628,6
PlackettLuce,6,4,0.06638178321348581,6
PreferenceModel,2,0,0.0680085167599221,2
PreferenceModel,2,1,0.10669161391754946,2
PreferenceModel,2,2,0.09594117018083731,2
PreferenceModel,2,3,0.12969530234113336,2
PreferenceModel,2,4,0.13046976272016764,2
PreferenceModel,3,0,0.05682583701563999,3
PreferenceModel,3,1,0.07279329159937334,3
PreferenceModel,3,2,0.06512022790654252,3
PreferenceModel,3,3,0.08273592833041524,3
PreferenceModel,3,4,0.07772899406651655,3
PreferenceModel,4,0,0.07438369345521399,4
PreferenceModel,4,1,0.07971555123674787,4
PreferenceModel,4,2,0.07846449368322889,4
PreferenceModel,4,3,0.08446565731234539,4
PreferenceModel,4,4,0.08144899803236412,4
PreferenceModel,5,0,0.15294894411021637,5
PreferenceModel,5,1,0.15364196540871894,5
PreferenceModel,5,2,0.15519624709041738,5
PreferenceModel,5,3,0.15487932905242713,5
PreferenceModel,5,4,0.15352706515065317,5
PreferenceModel,6,0,0.22216614160052914,6
PreferenceModel,6,1,0.22158650672321933,6
PreferenceModel,6,2,0.2234222457181507,6
PreferenceModel,6,3,0.2217065997952078,6
PreferenceModel,6,4,0.22018793073560422,6
PlackettLuceRPC,2,0,0.09895583894103765,2
PlackettLuceRPC,2,1,0.12583794047435123,2
PlackettLuceRPC,2,2,0.12125426257650057,2
PlackettLuceRPC,2,3,0.19086412793646257,2
PlackettLuceRPC,2,4,0.1327822460172077,2
PlackettLuceRPC,3,0,0.05951770649796041,3
PlackettLuceRPC,3,1,0.07405013547783407,3
PlackettLuceRPC,3,2,0.07148657010839088,3
PlackettLuceRPC,3,3,0.10619924300796507,3
PlackettLuceRPC,3,4,0.08424116804380902,3
PlackettLuceRPC,4,0,0.03062706961775095,4
PlackettLuceRPC,4,1,0.039768152885274806,4
PlackettLuceRPC,4,2,0.03548005696243813,4
PlackettLuceRPC,4,3,0.05351929290433569,4
PlackettLuceRPC,4,4,0.0520002209510292,4
PlackettLuceRPC,5,0,0.03656737459281834,5
PlackettLuceRPC,5,1,0.03979911169735715,5
PlackettLuceRPC,5,2,0.040239116327009265,5
PlackettLuceRPC,5,3,0.043554979595096986,5
PlackettLuceRPC,5,4,0.046740757900341934,5
PlackettLuceRPC,6,0,0.06009889336095916,6
PlackettLuceRPC,6,1,0.06181728897823228,6
PlackettLuceRPC,6,2,0.06324975805150138,6
PlackettLuceRPC,6,3,0.0624883481197887,6
PlackettLuceRPC,6,4,0.0670722923345036,6
RPC,2,0,0.06884028362110257,2
RPC,2,1,0.10952479106684526,2
RPC,2,2,0.10097110115457326,2
RPC,2,3,0.1682545656959216,2
RPC,2,4,0.12314596101641655,2
RPC,3,0,-1.0,3
RPC,3,1,-1.0,3
RPC,3,2,-1.0,3
RPC,3,3,-1.0,3
RPC,3,4,-1.0,3
RPC,4,0,-1.0,4
RPC,4,1,-1.0,4
RPC,4,2,-1.0,4
RPC,4,3,-1.0,4
RPC,4,4,-1.0,4
RPC,5,0,-1.0,5
RPC,5,1,-1.0,5
RPC,5,2,-1.0,5
RPC,5,3,-1.0,5
RPC,5,4,-1.0,5
RPC,6,0,-1.0,6
RPC,6,1,-1.0,6
RPC,6,2,-1.0,6
RPC,6,3,-1.0,6
RPC,6,4,-1.0,6
