model,k,fold,ece,k_label
PlackettLuce,2,0,0.5864189863204956,2
PlackettLuce,2,1,0.6861302852630615,2
PlackettLuce,2,2,0.597363293170929,2
PlackettLuce,2,3,0.7399919033050537,2
PlackettLuce,2,4,0.7216904759407043,2
PlackettLuce,3,0,0.6255429983139038,3
PlackettLuce,3,1,0.7075635194778442,3
PlackettLuce,3,2,0.6294262409210205,3
PlackettLuce,3,3,0.7630763649940491,3
PlackettLuce,3,4,0.7378732562065125,3
PlackettLuce,4,0,0.7000188231468201,4
PlackettLuce,4,1,0.7379060983657837,4
PlackettLuce,4,2,0.6700087785720825,4
PlackettLuce,4,3,0.7919301390647888,4
PlackettLuce,4,4,0.7617301940917969,4
PlackettLuce,5,0,0.7960872054100037,5
PlackettLuce,5,1,0.7970046997070312,5
PlackettLuce,5,2,0.7192144393920898,5
PlackettLuce,5,3,0.8284165859222412,5
PlackettLuce,5,4,0.8000354170799255,5
PlackettLuce,6,0,0.8780810832977295,6
PlackettLuce,6,1,0.8977453112602234,6
PlackettLuce,6,2,0.7772061824798584,6
PlackettLuce,6,3,0.8694587349891663,6
PlackettLuce,6,4,0.8436681628227234,6
PreferenceModel,2,0,0.6017881035804749,2
PreferenceModel,2,1,0.6381121873855591,2
PreferenceModel,2,2,0.6094650626182556,2
PreferenceModel,2,3,0.6479284167289734,2
PreferenceModel,2,4,0.7068373560905457,2
PreferenceModel,3,0,0.6083226799964905,3
PreferenceModel,3,1,0.6635380387306213,3
PreferenceModel,3,2,0.6258324384689331,3
PreferenceModel,3,3,0.668880820274353,3
PreferenceModel,3,4,0.7214462161064148,3
PreferenceModel,4,0,0.6411157846450806,4
PreferenceModel,4,1,0.6938076615333557,4
PreferenceModel,4,2,0.6518407464027405,4
PreferenceModel,4,3,0.7022950053215027,4
PreferenceModel,4,4,0.737397313117981,4
PreferenceModel,5,0,0.7131803035736084,5
PreferenceModel,5,1,0.7349066734313965,5
PreferenceModel,5,2,0.6928338408470154,5
PreferenceModel,5,3,0.7501862049102783,5
PreferenceModel,5,4,0.7586310505867004,5
PreferenceModel,6,0,0.8049681782722473,6
PreferenceModel,6,1,0.8013614416122437,6
PreferenceModel,6,2,0.7580654621124268,6
PreferenceModel,6,3,0.7897741794586182,6
PreferenceModel,6,4,0.800745964050293,6
PlackettLuceRPC,2,0,0.6835972666740417,2
PlackettLuceRPC,2,1,0.7485649585723877,2
PlackettLuceRPC,2,2,0.7018613219261169,2
PlackettLuceRPC,2,3,0.7802345156669617,2
PlackettLuceRPC,2,4,0.7416796088218689,2
PlackettLuceRPC,3,0,0.6837490797042847,3
PlackettLuceRPC,3,1,0.7488052845001221,3
PlackettLuceRPC,3,2,0.7021391987800598,3
PlackettLuceRPC,3,3,0.7804042100906372,3
PlackettLuceRPC,3,4,0.7417216300964355,3
PlackettLuceRPC,4,0,0.6867379546165466,4
PlackettLuceRPC,4,1,0.7505614757537842,4
PlackettLuceRPC,4,2,0.7038558125495911,4
PlackettLuceRPC,4,3,0.7833629846572876,4
PlackettLuceRPC,4,4,0.7467498779296875,4
PlackettLuceRPC,5,0,0.6951618194580078,5
PlackettLuceRPC,5,1,0.7552805542945862,5
PlackettLuceRPC,5,2,0.7116885781288147,5
PlackettLuceRPC,5,3,0.7906916737556458,5
PlackettLuceRPC,5,4,0.7570412755012512,5
PlackettLuceRPC,6,0,0.7097567319869995,6
PlackettLuceRPC,6,1,0.7622818350791931,6
PlackettLuceRPC,6,2,0.722786545753479,6
PlackettLuceRPC,6,3,0.7968270778656006,6
PlackettLuceRPC,6,4,0.7692008018493652,6
RPC,2,0,0.17723989486694336,2
RPC,2,1,0.17877855896949768,2
RPC,2,2,0.13101214170455933,2
RPC,2,3,0.24013970792293549,2
RPC,2,4,0.22092114388942719,2
RPC,3,0,-1.0,3
RPC,3,1,-1.0,3
RPC,3,2,-1.0,3
RPC,3,3,-1.0,3
RPC,3,4,-1.0,3
RPC,4,0,-1.0,4
RPC,4,1,-1.0,4
RPC,4,2,-1.0,4
RPC,4,3,-1.0,4
RPC,4,4,-1.0,4
RPC,5,0,-1.0,5
RPC,5,1,-1.0,5
RPC,5,2,-1.0,5
RPC,5,3,-1.0,5
RPC,5,4,-1.0,5
RPC,6,0,-1.0,6
RPC,6,1,-1.0,6
RPC,6,2,-1.0,6
RPC,6,3,-1.0,6
RPC,6,4,-1.0,6
