model,k,fold,ece,k_label
PlackettLuce,2,0,0.5864189863204956,2
PlackettLuce,2,1,0.6861304044723511,2
PlackettLuce,2,2,0.5973632335662842,2
PlackettLuce,2,3,0.7399919033050537,2
PlackettLuce,2,4,0.7216905355453491,2
PlackettLuce,3,0,0.6255429983139038,3
PlackettLuce,3,1,0.7075636386871338,3
PlackettLuce,3,2,0.6294262409210205,3
PlackettLuce,3,3,0.7630763649940491,3
PlackettLuce,3,4,0.7378733158111572,3
PlackettLuce,4,0,0.7000188231468201,4
PlackettLuce,4,1,0.7379060387611389,4
PlackettLuce,4,2,0.6700087189674377,4
PlackettLuce,4,3,0.791930079460144,4
PlackettLuce,4,4,0.7617301344871521,4
PlackettLuce,5,0,0.796087920665741,5
PlackettLuce,5,1,0.7970056533813477,5
PlackettLuce,5,2,0.719214141368866,5
PlackettLuce,5,3,0.8284170627593994,5
PlackettLuce,5,4,0.800035297870636,5
PlackettLuce,6,0,0.8780713081359863,6
PlackettLuce,6,1,0.8977370858192444,6
PlackettLuce,6,2,0.7772189974784851,6
PlackettLuce,6,3,0.8694555759429932,6
PlackettLuce,6,4,0.8436796069145203,6
MallowsModel,2,0,0.8097869157791138,2
MallowsModel,2,1,0.82157301902771,2
MallowsModel,2,2,0.8034383058547974,2
MallowsModel,2,3,0.857719361782074,2
MallowsModel,2,4,0.869666337966919,2
MallowsModel,3,0,0.8098510503768921,3
MallowsModel,3,1,0.8216382265090942,3
MallowsModel,3,2,0.8035328984260559,3
MallowsModel,3,3,0.8577355146408081,3
MallowsModel,3,4,0.8696767091751099,3
MallowsModel,4,0,0.8120500445365906,4
MallowsModel,4,1,0.8221493363380432,4
MallowsModel,4,2,0.8041357398033142,4
MallowsModel,4,3,0.8586996793746948,4
MallowsModel,4,4,0.8703051209449768,4
MallowsModel,5,0,0.820138156414032,5
MallowsModel,5,1,0.8237102031707764,5
MallowsModel,5,2,0.8116413950920105,5
MallowsModel,5,3,0.8616498112678528,5
MallowsModel,5,4,0.8725922703742981,5
MallowsModel,6,0,0.839168906211853,6
MallowsModel,6,1,0.8265313506126404,6
MallowsModel,6,2,0.8333882093429565,6
MallowsModel,6,3,0.8642355799674988,6
MallowsModel,6,4,0.8765626549720764,6
PreferenceModel,2,0,0.6017881035804749,2
PreferenceModel,2,1,0.6381121873855591,2
PreferenceModel,2,2,0.6094650626182556,2
PreferenceModel,2,3,0.6479284167289734,2
PreferenceModel,2,4,0.7068374156951904,2
PreferenceModel,3,0,0.6083226799964905,3
PreferenceModel,3,1,0.6635380387306213,3
PreferenceModel,3,2,0.6258324384689331,3
PreferenceModel,3,3,0.668880820274353,3
PreferenceModel,3,4,0.7214462161064148,3
PreferenceModel,4,0,0.6411157250404358,4
PreferenceModel,4,1,0.6938076019287109,4
PreferenceModel,4,2,0.6518408060073853,4
PreferenceModel,4,3,0.7022949457168579,4
PreferenceModel,4,4,0.7373973727226257,4
PreferenceModel,5,0,0.7131803631782532,5
PreferenceModel,5,1,0.7349064946174622,5
PreferenceModel,5,2,0.6928343176841736,5
PreferenceModel,5,3,0.7501865029335022,5
PreferenceModel,5,4,0.7586309909820557,5
PreferenceModel,6,0,0.804966926574707,6
PreferenceModel,6,1,0.8013523817062378,6
PreferenceModel,6,2,0.7580435872077942,6
PreferenceModel,6,3,0.7897724509239197,6
PreferenceModel,6,4,0.8007509708404541,6
PlackettLuceRPC,2,0,0.6779865026473999,2
PlackettLuceRPC,2,1,0.7423611283302307,2
PlackettLuceRPC,2,2,0.7094078063964844,2
PlackettLuceRPC,2,3,0.786126971244812,2
PlackettLuceRPC,2,4,0.7364475727081299,2
PlackettLuceRPC,3,0,0.678166389465332,3
PlackettLuceRPC,3,1,0.7426324486732483,3
PlackettLuceRPC,3,2,0.709739089012146,3
PlackettLuceRPC,3,3,0.7863359451293945,3
PlackettLuceRPC,3,4,0.7365654110908508,3
PlackettLuceRPC,4,0,0.6820834279060364,4
PlackettLuceRPC,4,1,0.7447311282157898,4
PlackettLuceRPC,4,2,0.7116214036941528,4
PlackettLuceRPC,4,3,0.7897065877914429,4
PlackettLuceRPC,4,4,0.7432628870010376,4
PlackettLuceRPC,5,0,0.6936705112457275,5
PlackettLuceRPC,5,1,0.7501969337463379,5
PlackettLuceRPC,5,2,0.7198640704154968,5
PlackettLuceRPC,5,3,0.7979688048362732,5
PlackettLuceRPC,5,4,0.7559090256690979,5
PlackettLuceRPC,6,0,0.7133110761642456,6
PlackettLuceRPC,6,1,0.757366955280304,6
PlackettLuceRPC,6,2,0.7303051948547363,6
PlackettLuceRPC,6,3,0.804498016834259,6
PlackettLuceRPC,6,4,0.7712359428405762,6
RPC,2,0,0.16715390980243683,2
RPC,2,1,0.1752457618713379,2
RPC,2,2,0.13644327223300934,2
RPC,2,3,0.24370621144771576,2
RPC,2,4,0.20813138782978058,2
RPC,3,0,-1.0,3
RPC,3,1,-1.0,3
RPC,3,2,-1.0,3
RPC,3,3,-1.0,3
RPC,3,4,-1.0,3
RPC,4,0,-1.0,4
RPC,4,1,-1.0,4
RPC,4,2,-1.0,4
RPC,4,3,-1.0,4
RPC,4,4,-1.0,4
RPC,5,0,-1.0,5
RPC,5,1,-1.0,5
RPC,5,2,-1.0,5
RPC,5,3,-1.0,5
RPC,5,4,-1.0,5
RPC,6,0,-1.0,6
RPC,6,1,-1.0,6
RPC,6,2,-1.0,6
RPC,6,3,-1.0,6
RPC,6,4,-1.0,6
