model,k,fold,ece,k_label
PlackettLuce,2,0,0.23458974063396454,2
PlackettLuce,2,1,0.24267737567424774,2
PlackettLuce,2,2,0.23860982060432434,2
PlackettLuce,2,3,0.24826617538928986,2
PlackettLuce,2,4,0.23355387151241302,2
PlackettLuce,3,0,0.45411354303359985,3
PlackettLuce,3,1,0.45887333154678345,3
PlackettLuce,3,2,0.4677414000034332,3
PlackettLuce,3,3,0.4485064446926117,3
PlackettLuce,3,4,0.4308038651943207,3
PlackettLuce,4,0,0.7046913504600525,4
PlackettLuce,4,1,0.7178438901901245,4
PlackettLuce,4,2,0.7127083539962769,4
PlackettLuce,4,3,0.7076289653778076,4
PlackettLuce,4,4,0.6886499524116516,4
PlackettLuce,5,0,1.0380297899246216,5
PlackettLuce,5,1,1.061341404914856,5
PlackettLuce,5,2,1.0029658079147339,5
PlackettLuce,5,3,1.0904494524002075,5
PlackettLuce,5,4,1.0790666341781616,5
PlackettLuce,6,0,1.4332067966461182,6
PlackettLuce,6,1,1.545223593711853,6
PlackettLuce,6,2,1.3359060287475586,6
PlackettLuce,6,3,1.5653905868530273,6
PlackettLuce,6,4,1.5525026321411133,6
MallowsModel,2,0,0.20931680500507355,2
MallowsModel,2,1,0.16560131311416626,2
MallowsModel,2,2,0.2067466676235199,2
MallowsModel,2,3,0.2626274526119232,2
MallowsModel,2,4,0.26548832654953003,2
MallowsModel,3,0,0.4537186026573181,3
MallowsModel,3,1,0.4259144365787506,3
MallowsModel,3,2,0.4718736708164215,3
MallowsModel,3,3,0.514476478099823,3
MallowsModel,3,4,0.49088042974472046,3
MallowsModel,4,0,0.7857694029808044,4
MallowsModel,4,1,0.7689122557640076,4
MallowsModel,4,2,0.8087233304977417,4
MallowsModel,4,3,0.8424598574638367,4
MallowsModel,4,4,0.8395331501960754,4
MallowsModel,5,0,1.1990951299667358,5
MallowsModel,5,1,1.1900304555892944,5
MallowsModel,5,2,1.2125868797302246,5
MallowsModel,5,3,1.2655445337295532,5
MallowsModel,5,4,1.309470295906067,5
MallowsModel,6,0,1.6380842924118042,6
MallowsModel,6,1,1.6476815938949585,6
MallowsModel,6,2,1.6317942142486572,6
MallowsModel,6,3,1.7218419313430786,6
MallowsModel,6,4,1.7332473993301392,6
PreferenceModel,2,0,0.16744175553321838,2
PreferenceModel,2,1,0.19379164278507233,2
PreferenceModel,2,2,0.18263770639896393,2
PreferenceModel,2,3,0.22272832691669464,2
PreferenceModel,2,4,0.17798025906085968,2
PreferenceModel,3,0,0.3349325358867645,3
PreferenceModel,3,1,0.36637166142463684,3
PreferenceModel,3,2,0.3590508997440338,3
PreferenceModel,3,3,0.39484119415283203,3
PreferenceModel,3,4,0.34966450929641724,3
PreferenceModel,4,0,0.581065833568573,4
PreferenceModel,4,1,0.6100864410400391,4
PreferenceModel,4,2,0.5797674655914307,4
PreferenceModel,4,3,0.6184207201004028,4
PreferenceModel,4,4,0.6013839244842529,4
PreferenceModel,5,0,0.9308512210845947,5
PreferenceModel,5,1,0.9611520171165466,5
PreferenceModel,5,2,0.903149425983429,5
PreferenceModel,5,3,0.9624541401863098,5
PreferenceModel,5,4,0.9824286103248596,5
PreferenceModel,6,0,1.369561791419983,6
PreferenceModel,6,1,1.4174268245697021,6
PreferenceModel,6,2,1.351845622062683,6
PreferenceModel,6,3,1.4112848043441772,6
PreferenceModel,6,4,1.4787532091140747,6
PlackettLuceRPC,2,0,0.14876513183116913,2
PlackettLuceRPC,2,1,0.15354952216148376,2
PlackettLuceRPC,2,2,0.13248088955879211,2
PlackettLuceRPC,2,3,0.2315516471862793,2
PlackettLuceRPC,2,4,0.18110571801662445,2
PlackettLuceRPC,3,0,0.31812188029289246,3
PlackettLuceRPC,3,1,0.32487326860427856,3
PlackettLuceRPC,3,2,0.3263047933578491,3
PlackettLuceRPC,3,3,0.41328954696655273,3
PlackettLuceRPC,3,4,0.36612266302108765,3
PlackettLuceRPC,4,0,0.5703796744346619,4
PlackettLuceRPC,4,1,0.5869129300117493,4
PlackettLuceRPC,4,2,0.5962293744087219,4
PlackettLuceRPC,4,3,0.6477219462394714,4
PlackettLuceRPC,4,4,0.6416037678718567,4
PlackettLuceRPC,5,0,0.9227895736694336,5
PlackettLuceRPC,5,1,0.9642135500907898,5
PlackettLuceRPC,5,2,0.9308121800422668,5
PlackettLuceRPC,5,3,1.0143438577651978,5
PlackettLuceRPC,5,4,1.0140994787216187,5
PlackettLuceRPC,6,0,1.3732322454452515,6
PlackettLuceRPC,6,1,1.485825777053833,6
PlackettLuceRPC,6,2,1.412344217300415,6
PlackettLuceRPC,6,3,1.5746387243270874,6
PlackettLuceRPC,6,4,1.4878474473953247,6
RPC,2,0,0.16097646951675415,2
RPC,2,1,0.18752974271774292,2
RPC,2,2,0.13651613891124725,2
RPC,2,3,0.2591323256492615,2
RPC,2,4,0.20204190909862518,2
RPC,3,0,-1.0,3
RPC,3,1,-1.0,3
RPC,3,2,-1.0,3
RPC,3,3,-1.0,3
RPC,3,4,-1.0,3
RPC,4,0,-1.0,4
RPC,4,1,-1.0,4
RPC,4,2,-1.0,4
RPC,4,3,-1.0,4
RPC,4,4,-1.0,4
RPC,5,0,-1.0,5
RPC,5,1,-1.0,5
RPC,5,2,-1.0,5
RPC,5,3,-1.0,5
RPC,5,4,-1.0,5
RPC,6,0,-1.0,6
RPC,6,1,-1.0,6
RPC,6,2,-1.0,6
RPC,6,3,-1.0,6
RPC,6,4,-1.0,6
