model,k,fold,ece,k_label
PlackettLuce,1,0,0.2545681248108546,1
PlackettLuce,1,1,0.29984477162361145,1
PlackettLuce,1,2,0.40293502310911816,1
PlackettLuce,1,3,0.4310302784045537,1
PlackettLuce,1,4,0.3188270926475525,1
PlackettLuce,2,0,0.10337282121181487,2
PlackettLuce,2,1,0.08487987617651621,2
PlackettLuce,2,2,0.08819621751705806,2
PlackettLuce,2,3,0.13368885864814123,2
PlackettLuce,2,4,0.05893214096625646,2
PlackettLuce,3,0,0.03318083714693785,3
PlackettLuce,3,1,0.019342865298191705,3
PlackettLuce,3,2,0.021996457253893216,3
PlackettLuce,3,3,0.02859419211745262,3
PlackettLuce,3,4,0.009100472989181678,3
PlackettLuce,4,0,0.01347966469410393,4
PlackettLuce,4,1,0.005932884249422285,4
PlackettLuce,4,2,0.0070012320660882525,4
PlackettLuce,4,3,0.007092357592450248,4
PlackettLuce,4,4,0.0021642957917518088,4
PlackettLuce,5,0,0.006739832347051965,5
PlackettLuce,5,1,0.0029664421247111426,5
PlackettLuce,5,2,0.0035006160330441263,5
PlackettLuce,5,3,0.003546178796225124,5
PlackettLuce,5,4,0.0010821478958759044,5
MallowsModel,1,0,0.0568661093711853,1
MallowsModel,1,1,0.0,1
MallowsModel,1,2,0.056119635701179504,1
MallowsModel,1,3,0.0,1
MallowsModel,1,4,0.0,1
MallowsModel,2,0,0.0,2
MallowsModel,2,1,0.0,2
MallowsModel,2,2,0.005758944650491079,2
MallowsModel,2,3,0.0,2
MallowsModel,2,4,0.0,2
MallowsModel,3,0,0.0,3
MallowsModel,3,1,0.0,3
MallowsModel,3,2,0.0,3
MallowsModel,3,3,0.0,3
MallowsModel,3,4,0.0,3
MallowsModel,4,0,0.0,4
MallowsModel,4,1,0.0,4
MallowsModel,4,2,0.0,4
MallowsModel,4,3,0.0,4
MallowsModel,4,4,0.0,4
MallowsModel,5,0,0.0,5
MallowsModel,5,1,0.0,5
MallowsModel,5,2,0.0,5
MallowsModel,5,3,0.0,5
MallowsModel,5,4,0.0,5
PreferenceModel,1,0,0.07878600557645161,1
PreferenceModel,1,1,0.1474731663862864,1
PreferenceModel,1,2,0.1170712411403656,1
PreferenceModel,1,3,0.12321994453668594,1
PreferenceModel,1,4,0.04786730309327444,1
PreferenceModel,2,0,0.021496395766735076,2
PreferenceModel,2,1,0.02009960760672887,2
PreferenceModel,2,2,0.03617412994305293,2
PreferenceModel,2,3,0.058906400203704835,2
PreferenceModel,2,4,0.025654729455709457,2
PreferenceModel,3,0,0.0047597486525774,3
PreferenceModel,3,1,0.0058442395180463794,3
PreferenceModel,3,2,0.009284137065211933,3
PreferenceModel,3,3,0.01472117801507314,3
PreferenceModel,3,4,0.005686578713357449,3
PreferenceModel,4,0,0.0013914241972896788,4
PreferenceModel,4,1,0.0013346308635340796,4
PreferenceModel,4,2,0.002280224942498737,4
PreferenceModel,4,3,0.0049070593383577134,4
PreferenceModel,4,4,0.0021178429532382223,4
PreferenceModel,5,0,0.0006957120986448394,5
PreferenceModel,5,1,0.0006673154317670398,5
PreferenceModel,5,2,0.0011401124712493685,5
PreferenceModel,5,3,0.0024535296691788567,5
PreferenceModel,5,4,0.0010589214766191111,5
PlackettLuceRPC,1,0,0.13775849839051565,1
PlackettLuceRPC,1,1,0.11013582224647205,1
PlackettLuceRPC,1,2,0.12259217848380406,1
PlackettLuceRPC,1,3,0.2192304382721583,1
PlackettLuceRPC,1,4,0.07257637878259023,1
PlackettLuceRPC,2,0,0.014788024624188741,2
PlackettLuceRPC,2,1,0.016694015264511107,2
PlackettLuceRPC,2,2,0.024997379382451376,2
PlackettLuceRPC,2,3,0.0,2
PlackettLuceRPC,2,4,0.017596644163131715,2
PlackettLuceRPC,3,0,0.0,3
PlackettLuceRPC,3,1,0.0,3
PlackettLuceRPC,3,2,0.0,3
PlackettLuceRPC,3,3,0.0,3
PlackettLuceRPC,3,4,0.0,3
PlackettLuceRPC,4,0,0.0,4
PlackettLuceRPC,4,1,0.0,4
PlackettLuceRPC,4,2,0.0,4
PlackettLuceRPC,4,3,0.0,4
PlackettLuceRPC,4,4,0.0,4
PlackettLuceRPC,5,0,0.0,5
PlackettLuceRPC,5,1,0.0,5
PlackettLuceRPC,5,2,0.0,5
PlackettLuceRPC,5,3,0.0,5
PlackettLuceRPC,5,4,0.0,5
