model,k,fold,ece,k_label
PlackettLuce,1,0,0.181333526968956,1
PlackettLuce,1,1,0.1984062766035398,1
PlackettLuce,1,2,0.1678988461693128,1
PlackettLuce,1,3,0.23683246473471323,1
PlackettLuce,1,4,0.1912956436475118,1
PlackettLuce,2,0,0.06668576560914516,2
PlackettLuce,2,1,0.08140896651893854,2
PlackettLuce,2,2,0.06732839144145449,2
PlackettLuce,2,3,0.0821572666366895,2
PlackettLuce,2,4,0.05779723307738702,2
PlackettLuce,3,0,0.022097008240719637,3
PlackettLuce,3,1,0.021296244021505116,3
PlackettLuce,3,2,0.01674187407673647,3
PlackettLuce,3,3,0.024318027682602404,3
PlackettLuce,3,4,0.01679525915533304,3
PlackettLuce,4,0,0.007685767083118359,4
PlackettLuce,4,1,0.008662853069189522,4
PlackettLuce,4,2,0.006199850643881493,4
PlackettLuce,4,3,0.007747348527320557,4
PlackettLuce,4,4,0.005772371233130495,4
PlackettLuce,5,0,0.0038428835415591795,5
PlackettLuce,5,1,0.004331426534594761,5
PlackettLuce,5,2,0.0030999253219407465,5
PlackettLuce,5,3,0.0038736742636602786,5
PlackettLuce,5,4,0.0028861856165652475,5
MallowsModel,1,0,0.12329028050104777,1
MallowsModel,1,1,0.12191720803578694,1
MallowsModel,1,2,0.14861220866441727,1
MallowsModel,1,3,0.11415066321690877,1
MallowsModel,1,4,0.14730586111545563,1
MallowsModel,2,0,0.022594079126914343,2
MallowsModel,2,1,0.02066825032234192,2
MallowsModel,2,2,0.017207283029953637,2
MallowsModel,2,3,0.014034957935412725,2
MallowsModel,2,4,0.013694519052902858,2
MallowsModel,3,0,0.003601732136060794,3
MallowsModel,3,1,0.0035015014931559564,3
MallowsModel,3,2,0.002832929665843646,3
MallowsModel,3,3,0.0014123560239871344,3
MallowsModel,3,4,0.001694975731273492,3
MallowsModel,4,0,0.0011028971005645064,4
MallowsModel,4,1,0.001052907823274533,4
MallowsModel,4,2,0.0010236380828751459,4
MallowsModel,4,3,0.00047078534132904477,4
MallowsModel,4,4,0.000478930233253373,4
MallowsModel,5,0,0.0005514485502822532,5
MallowsModel,5,1,0.0005264539116372665,5
MallowsModel,5,2,0.0005118190414375729,5
MallowsModel,5,3,0.00023539267066452238,5
MallowsModel,5,4,0.0002394651166266865,5
PreferenceModel,1,0,0.12275232079749306,1
PreferenceModel,1,1,0.17829999576012293,1
PreferenceModel,1,2,0.16720121602217355,1
PreferenceModel,1,3,0.170784925421079,1
PreferenceModel,1,4,0.16301238040129343,1
PreferenceModel,2,0,0.028906671951214474,2
PreferenceModel,2,1,0.033712093532085416,2
PreferenceModel,2,2,0.041883580448726816,2
PreferenceModel,2,3,0.047451589504877725,2
PreferenceModel,2,4,0.04971153093501925,2
PreferenceModel,3,0,0.00716940313577652,3
PreferenceModel,3,1,0.012133470022430022,3
PreferenceModel,3,2,0.006266114534810185,3
PreferenceModel,3,3,0.009729918123533328,3
PreferenceModel,3,4,0.016162719391286374,3
PreferenceModel,4,0,0.0038307276657885973,4
PreferenceModel,4,1,0.003877309505413804,4
PreferenceModel,4,2,0.002023732615634799,4
PreferenceModel,4,3,0.0031575141940265892,4
PreferenceModel,4,4,0.002645618204648296,4
PreferenceModel,5,0,0.0019153638328942987,5
PreferenceModel,5,1,0.001938654752706902,5
PreferenceModel,5,2,0.0010118663078173995,5
PreferenceModel,5,3,0.0015317235271342926,5
PreferenceModel,5,4,0.001322809102324148,5
PlackettLuceRPC,1,0,0.16934665540854135,1
PlackettLuceRPC,1,1,0.16403178622325262,1
PlackettLuceRPC,1,2,0.13729945321877798,1
PlackettLuceRPC,1,3,0.15960225959618887,1
PlackettLuceRPC,1,4,0.15631935745477676,1
PlackettLuceRPC,2,0,0.04090415807440877,2
PlackettLuceRPC,2,1,0.04604540057480335,2
PlackettLuceRPC,2,2,0.06968196673939625,2
PlackettLuceRPC,2,3,0.05438042307893435,2
PlackettLuceRPC,2,4,0.03704351348181566,2
PlackettLuceRPC,3,0,0.009100154670886696,3
PlackettLuceRPC,3,1,0.011441216276337703,3
PlackettLuceRPC,3,2,0.009555818668256203,3
PlackettLuceRPC,3,3,0.01066836214158684,3
PlackettLuceRPC,3,4,0.00979196943808347,3
PlackettLuceRPC,4,0,0.0038361550748555197,4
PlackettLuceRPC,4,1,0.004300193022936582,4
PlackettLuceRPC,4,2,0.0033115376744212374,4
PlackettLuceRPC,4,3,0.0034680911727870503,4
PlackettLuceRPC,4,4,0.0034218931855219932,4
PlackettLuceRPC,5,0,0.0019180775374277599,5
PlackettLuceRPC,5,1,0.002150096511468291,5
PlackettLuceRPC,5,2,0.0016557688372106187,5
PlackettLuceRPC,5,3,0.0017340455863935251,5
PlackettLuceRPC,5,4,0.0017109465927609966,5
