model,k,fold,ece,k_label
PlackettLuce,1,0,0.7547947764396667,1
PlackettLuce,1,1,0.4231228828430176,1
PlackettLuce,1,2,0.5652203559875488,1
PlackettLuce,1,3,0.5285266637802124,1
PlackettLuce,1,4,0.6617934703826904,1
PlackettLuce,2,0,0.5694913268089294,2
PlackettLuce,2,1,0.29662132263183594,2
PlackettLuce,2,2,0.44263017177581787,2
PlackettLuce,2,3,0.4382367730140686,2
PlackettLuce,2,4,0.5601438283920288,2
PlackettLuce,3,0,0.5416787266731262,3
PlackettLuce,3,1,0.29662132263183594,3
PlackettLuce,3,2,0.4093218445777893,3
PlackettLuce,3,3,0.4382367730140686,3
PlackettLuce,3,4,0.4946127235889435,3
PlackettLuce,4,0,0.5668498873710632,4
PlackettLuce,4,1,0.26967766880989075,4
PlackettLuce,4,2,0.34245872497558594,4
PlackettLuce,4,3,0.3723698556423187,4
PlackettLuce,4,4,0.4472009539604187,4
PlackettLuce,5,0,0.5668498873710632,5
PlackettLuce,5,1,0.26967766880989075,5
PlackettLuce,5,2,0.34245872497558594,5
PlackettLuce,5,3,0.3723698556423187,5
PlackettLuce,5,4,0.4472009539604187,5
MallowsModel,1,0,0.5112723112106323,1
MallowsModel,1,1,0.46427828073501587,1
MallowsModel,1,2,0.4553823471069336,1
MallowsModel,1,3,0.39259254932403564,1
MallowsModel,1,4,0.21475045382976532,1
MallowsModel,2,0,0.21755367517471313,2
MallowsModel,2,1,0.2925031781196594,2
MallowsModel,2,2,0.2398514747619629,2
MallowsModel,2,3,0.15481597185134888,2
MallowsModel,2,4,0.21475045382976532,2
MallowsModel,3,0,0.0989987701177597,3
MallowsModel,3,1,0.2925031781196594,3
MallowsModel,3,2,0.19569872319698334,3
MallowsModel,3,3,0.15481597185134888,3
MallowsModel,3,4,0.08501752465963364,3
MallowsModel,4,0,0.0989987701177597,4
MallowsModel,4,1,0.190721333026886,4
MallowsModel,4,2,0.09144369512796402,4
MallowsModel,4,3,0.15481597185134888,4
MallowsModel,4,4,0.08501752465963364,4
MallowsModel,5,0,0.0989987701177597,5
MallowsModel,5,1,0.190721333026886,5
MallowsModel,5,2,0.09144369512796402,5
MallowsModel,5,3,0.15481597185134888,5
MallowsModel,5,4,0.08501752465963364,5
PreferenceModel,1,0,0.6338406205177307,1
PreferenceModel,1,1,0.2899946868419647,1
PreferenceModel,1,2,0.6366413235664368,1
PreferenceModel,1,3,0.4656713902950287,1
PreferenceModel,1,4,0.3778156042098999,1
PreferenceModel,2,0,0.2258143126964569,2
PreferenceModel,2,1,0.2681002914905548,2
PreferenceModel,2,2,0.5033674836158752,2
PreferenceModel,2,3,0.24428915977478027,2
PreferenceModel,2,4,0.3778156042098999,2
PreferenceModel,3,0,0.21566161513328552,3
PreferenceModel,3,1,0.2681002914905548,3
PreferenceModel,3,2,0.2898614704608917,3
PreferenceModel,3,3,0.24428915977478027,3
PreferenceModel,3,4,0.3317129611968994,3
PreferenceModel,4,0,0.2152203768491745,4
PreferenceModel,4,1,0.17327123880386353,4
PreferenceModel,4,2,0.26336219906806946,4
PreferenceModel,4,3,0.24428915977478027,4
PreferenceModel,4,4,0.2231844961643219,4
PreferenceModel,5,0,0.2152203768491745,5
PreferenceModel,5,1,0.17327123880386353,5
PreferenceModel,5,2,0.26336219906806946,5
PreferenceModel,5,3,0.24428915977478027,5
PreferenceModel,5,4,0.2231844961643219,5
PlackettLuceRPC,1,0,0.5302501320838928,1
PlackettLuceRPC,1,1,0.46688175201416016,1
PlackettLuceRPC,1,2,0.66850745677948,1
PlackettLuceRPC,1,3,0.45676088333129883,1
PlackettLuceRPC,1,4,0.6266736388206482,1
PlackettLuceRPC,2,0,0.20009133219718933,2
PlackettLuceRPC,2,1,0.22986258566379547,2
PlackettLuceRPC,2,2,0.4948723316192627,2
PlackettLuceRPC,2,3,0.24860094487667084,2
PlackettLuceRPC,2,4,0.567994236946106,2
PlackettLuceRPC,3,0,0.03486327826976776,3
PlackettLuceRPC,3,1,0.22986258566379547,3
PlackettLuceRPC,3,2,0.2896488606929779,3
PlackettLuceRPC,3,3,0.24860094487667084,3
PlackettLuceRPC,3,4,0.3302695155143738,3
PlackettLuceRPC,4,0,0.08599692583084106,4
PlackettLuceRPC,4,1,0.1288691908121109,4
PlackettLuceRPC,4,2,0.13766922056674957,4
PlackettLuceRPC,4,3,0.24918921291828156,4
PlackettLuceRPC,4,4,0.08756290376186371,4
PlackettLuceRPC,5,0,0.08599692583084106,5
PlackettLuceRPC,5,1,0.1288691908121109,5
PlackettLuceRPC,5,2,0.13766922056674957,5
PlackettLuceRPC,5,3,0.24918921291828156,5
PlackettLuceRPC,5,4,0.08756290376186371,5
