model,k,fold,ece,k_label
PlackettLuce,1,0,0.12741779502054365,1
PlackettLuce,1,1,0.14068555007516234,1
PlackettLuce,1,2,0.12206331907438261,1
PlackettLuce,1,3,0.13938218770393482,1
PlackettLuce,1,4,0.1422338769253757,1
PlackettLuce,2,0,0.025483558928438774,2
PlackettLuce,2,1,0.028137110088331006,2
PlackettLuce,2,2,0.025940513343098874,2
PlackettLuce,2,3,0.031861223722808064,2
PlackettLuce,2,4,0.028446775263679832,2
PlackettLuce,3,0,0.006807585516556477,3
PlackettLuce,3,1,0.007034277522082751,3
PlackettLuce,3,2,0.007107108695077735,3
PlackettLuce,3,3,0.007965305930702016,3
PlackettLuce,3,4,0.007070753252725505,3
PlackettLuce,4,0,0.002317287659227279,4
PlackettLuce,4,1,0.002489320939064693,4
PlackettLuce,4,2,0.0023554301535185394,4
PlackettLuce,4,3,0.0026551019829639698,4
PlackettLuce,4,4,0.002333158752767809,4
PlackettLuce,5,0,0.0011586438296136395,5
PlackettLuce,5,1,0.0012446604695323465,5
PlackettLuce,5,2,0.0011777150767592697,5
PlackettLuce,5,3,0.0013275509914819849,5
PlackettLuce,5,4,0.0011665793763839046,5
MallowsModel,1,0,0.14595190439528474,1
MallowsModel,1,1,0.14994026495454213,1
MallowsModel,1,2,0.14512393047334626,1
MallowsModel,1,3,0.15260602181297145,1
MallowsModel,1,4,0.1537034559684495,1
MallowsModel,2,0,0.029190380754880608,2
MallowsModel,2,1,0.02998805356910452,2
MallowsModel,2,2,0.029024785826914014,2
MallowsModel,2,3,0.03052120436259429,2
MallowsModel,2,4,0.03074069120363371,2
MallowsModel,3,0,0.0072975952352862805,3
MallowsModel,3,1,0.00749701339227613,3
MallowsModel,3,2,0.007256196448967482,3
MallowsModel,3,3,0.007630301090648573,3
MallowsModel,3,4,0.007685173031798816,3
MallowsModel,4,0,0.0024325317425084197,4
MallowsModel,4,1,0.0024990044162324114,4
MallowsModel,4,2,0.0024187321548298415,4
MallowsModel,4,3,0.0025434336995911306,4
MallowsModel,4,4,0.0025617243691562585,4
MallowsModel,5,0,0.0012162658712542098,5
MallowsModel,5,1,0.0012495022081162057,5
MallowsModel,5,2,0.0012093660774149207,5
MallowsModel,5,3,0.0012717168497955653,5
MallowsModel,5,4,0.0012808621845781293,5
PreferenceModel,1,0,0.12505808550243577,1
PreferenceModel,1,1,0.13097995257272418,1
PreferenceModel,1,2,0.12483709085933571,1
PreferenceModel,1,3,0.13702253077644855,1
PreferenceModel,1,4,0.14374016880368193,1
PreferenceModel,2,0,0.025011616370951135,2
PreferenceModel,2,1,0.026582559176151536,2
PreferenceModel,2,2,0.027146809226970246,2
PreferenceModel,2,3,0.030171652134352675,2
PreferenceModel,2,4,0.028748033725811792,2
PreferenceModel,3,0,0.006612025986153943,3
PreferenceModel,3,1,0.006645639794037884,3
PreferenceModel,3,2,0.006824364437431773,3
PreferenceModel,3,3,0.007542913033588169,3
PreferenceModel,3,4,0.007458291632550147,3
PreferenceModel,4,0,0.0022040086620513143,4
PreferenceModel,4,1,0.0024078122540276475,4
PreferenceModel,4,2,0.0021767857766997836,4
PreferenceModel,4,3,0.0025143043451761413,4
PreferenceModel,4,4,0.0023956695034522218,4
PreferenceModel,5,0,0.0011020043310256572,5
PreferenceModel,5,1,0.0012039061270138238,5
PreferenceModel,5,2,0.0010883928883498918,5
PreferenceModel,5,3,0.0012571521725880707,5
PreferenceModel,5,4,0.0011978347517261109,5
PlackettLuceRPC,1,0,0.13949670712463558,1
PlackettLuceRPC,1,1,0.14344865513137647,1
PlackettLuceRPC,1,2,0.13850477599885827,1
PlackettLuceRPC,1,3,0.14930532326131166,1
PlackettLuceRPC,1,4,0.14166414141654968,1
PlackettLuceRPC,2,0,0.027561321202665568,2
PlackettLuceRPC,2,1,0.02868973050887386,2
PlackettLuceRPC,2,2,0.027700955191782364,2
PlackettLuceRPC,2,3,0.029861064341821474,2
PlackettLuceRPC,2,4,0.028332828227285063,2
PlackettLuceRPC,3,0,0.006890330347232521,3
PlackettLuceRPC,3,1,0.007172432627218465,3
PlackettLuceRPC,3,2,0.0069252388289896775,3
PlackettLuceRPC,3,3,0.007465266085455368,3
PlackettLuceRPC,3,4,0.007083207269473254,3
PlackettLuceRPC,4,0,0.002296776779823833,4
PlackettLuceRPC,4,1,0.0023908108446954023,4
PlackettLuceRPC,4,2,0.0023084129533445874,4
PlackettLuceRPC,4,3,0.002488422022623935,4
PlackettLuceRPC,4,4,0.0023610691053464606,4
PlackettLuceRPC,5,0,0.0011483883899119165,5
PlackettLuceRPC,5,1,0.0011954054223477012,5
PlackettLuceRPC,5,2,0.0011542064766722937,5
PlackettLuceRPC,5,3,0.0012442110113119675,5
PlackettLuceRPC,5,4,0.0011805345526732303,5
