model,k,fold,ece,k_label
PlackettLuce,1,0,0.4963843524456024,1
PlackettLuce,1,1,0.5649348497390747,1
PlackettLuce,1,2,0.5042111873626709,1
PlackettLuce,1,3,0.5654069781303406,1
PlackettLuce,1,4,0.5846795439720154,1
PlackettLuce,2,0,0.7785466909408569,2
PlackettLuce,2,1,0.7664114832878113,2
PlackettLuce,2,2,0.7646546959877014,2
PlackettLuce,2,3,0.8698053359985352,2
PlackettLuce,2,4,0.7243366241455078,2
PlackettLuce,3,0,1.1440786123275757,3
PlackettLuce,3,1,1.2405481338500977,3
PlackettLuce,3,2,1.144567608833313,3
PlackettLuce,3,3,1.243537425994873,3
PlackettLuce,3,4,1.1475939750671387,3
PlackettLuce,4,0,1.3840337991714478,4
PlackettLuce,4,1,1.4804425239562988,4
PlackettLuce,4,2,1.3061130046844482,4
PlackettLuce,4,3,1.4867969751358032,4
PlackettLuce,4,4,1.4777005910873413,4
PlackettLuce,5,0,1.4332464933395386,5
PlackettLuce,5,1,1.545225977897644,5
PlackettLuce,5,2,1.335911750793457,5
PlackettLuce,5,3,1.5653823614120483,5
PlackettLuce,5,4,1.5525106191635132,5
MallowsModel,1,0,0.32465872168540955,1
MallowsModel,1,1,0.3543717861175537,1
MallowsModel,1,2,0.3536180853843689,1
MallowsModel,1,3,0.4640081524848938,1
MallowsModel,1,4,0.699090301990509,1
MallowsModel,2,0,0.6460767984390259,2
MallowsModel,2,1,0.6801108121871948,2
MallowsModel,2,2,0.6688029170036316,2
MallowsModel,2,3,1.0374737977981567,2
MallowsModel,2,4,0.8923606276512146,2
MallowsModel,3,0,1.1528834104537964,3
MallowsModel,3,1,1.1303967237472534,3
MallowsModel,3,2,1.1660947799682617,3
MallowsModel,3,3,1.3288785219192505,3
MallowsModel,3,4,1.3201942443847656,3
MallowsModel,4,0,1.466796636581421,4
MallowsModel,4,1,1.4653713703155518,4
MallowsModel,4,2,1.4764643907546997,4
MallowsModel,4,3,1.5988502502441406,4
MallowsModel,4,4,1.6008946895599365,4
MallowsModel,5,0,1.6380842924118042,5
MallowsModel,5,1,1.647681713104248,5
MallowsModel,5,2,1.6317942142486572,5
MallowsModel,5,3,1.7218419313430786,5
MallowsModel,5,4,1.7332475185394287,5
PreferenceModel,1,0,0.3604075014591217,1
PreferenceModel,1,1,0.45870131254196167,1
PreferenceModel,1,2,0.33410102128982544,1
PreferenceModel,1,3,0.4582120180130005,1
PreferenceModel,1,4,0.5103133916854858,1
PreferenceModel,2,0,0.6511813998222351,2
PreferenceModel,2,1,0.6598701477050781,2
PreferenceModel,2,2,0.5549976229667664,2
PreferenceModel,2,3,0.900691032409668,2
PreferenceModel,2,4,0.7760941386222839,2
PreferenceModel,3,0,1.0257482528686523,3
PreferenceModel,3,1,1.1689081192016602,3
PreferenceModel,3,2,1.0273666381835938,3
PreferenceModel,3,3,1.1027272939682007,3
PreferenceModel,3,4,1.2004185914993286,3
PreferenceModel,4,0,1.3579233884811401,4
PreferenceModel,4,1,1.378067135810852,4
PreferenceModel,4,2,1.312450647354126,4
PreferenceModel,4,3,1.3707044124603271,4
PreferenceModel,4,4,1.4384584426879883,4
PreferenceModel,5,0,1.3695744276046753,5
PreferenceModel,5,1,1.4174582958221436,5
PreferenceModel,5,2,1.3518705368041992,5
PreferenceModel,5,3,1.4112852811813354,5
PreferenceModel,5,4,1.4787530899047852,5
PlackettLuceRPC,1,0,0.29163432121276855,1
PlackettLuceRPC,1,1,0.27960413694381714,1
PlackettLuceRPC,1,2,0.2678033709526062,1
PlackettLuceRPC,1,3,0.3353266417980194,1
PlackettLuceRPC,1,4,0.5366690754890442,1
PlackettLuceRPC,2,0,0.5791411995887756,2
PlackettLuceRPC,2,1,0.6326450705528259,2
PlackettLuceRPC,2,2,0.5436356067657471,2
PlackettLuceRPC,2,3,0.8375588655471802,2
PlackettLuceRPC,2,4,0.7126796245574951,2
PlackettLuceRPC,3,0,1.0226893424987793,3
PlackettLuceRPC,3,1,1.167884111404419,3
PlackettLuceRPC,3,2,1.0837318897247314,3
PlackettLuceRPC,3,3,1.16438627243042,3
PlackettLuceRPC,3,4,1.1326706409454346,3
PlackettLuceRPC,4,0,1.2988533973693848,4
PlackettLuceRPC,4,1,1.4498568773269653,4
PlackettLuceRPC,4,2,1.3619425296783447,4
PlackettLuceRPC,4,3,1.5318875312805176,4
PlackettLuceRPC,4,4,1.4413167238235474,4
PlackettLuceRPC,5,0,1.3883092403411865,5
PlackettLuceRPC,5,1,1.525652289390564,5
PlackettLuceRPC,5,2,1.4047565460205078,5
PlackettLuceRPC,5,3,1.5916317701339722,5
PlackettLuceRPC,5,4,1.5140451192855835,5
