model,k,fold,ece,k_label
PlackettLuce,2,0,0.11972920726487615,2
PlackettLuce,2,1,0.13848137454109433,2
PlackettLuce,2,2,0.1404646050838981,2
PlackettLuce,2,3,0.1121709095327433,2
PlackettLuce,2,4,0.11214704184285865,2
PlackettLuce,3,0,0.04086416560739174,3
PlackettLuce,3,1,0.04735549555985685,3
PlackettLuce,3,2,0.0476096966317536,3
PlackettLuce,3,3,0.03841350788204225,3
PlackettLuce,3,4,0.03848361718588606,3
PlackettLuce,4,0,0.010696838587596458,4
PlackettLuce,4,1,0.01238513827158124,4
PlackettLuce,4,2,0.012278138466980934,4
PlackettLuce,4,3,0.010088952800047528,4
PlackettLuce,4,4,0.010117721431846386,4
PlackettLuce,5,0,0.0022871738904093135,5
PlackettLuce,5,1,0.0026222059244568993,5
PlackettLuce,5,2,0.0025390290902417767,5
PlackettLuce,5,3,0.0021642773647167664,5
PlackettLuce,5,4,0.0021549399731488213,5
PlackettLuce,6,0,0.00041756292040862194,6
PlackettLuce,6,1,0.00047161522434708766,6
PlackettLuce,6,2,0.0004401121793577094,6
PlackettLuce,6,3,0.0003946658605350067,6
PlackettLuce,6,4,0.0003908628745234192,6
PlackettLuce,7,0,6.623382390570633e-05,7
PlackettLuce,7,1,7.377629836720469e-05,7
PlackettLuce,7,2,6.548466034281306e-05,7
PlackettLuce,7,3,6.161235476428836e-05,7
PlackettLuce,7,4,6.258252123073057e-05,7
PreferenceModel,2,0,0.06253749276160218,2
PreferenceModel,2,1,0.05192271473865465,2
PreferenceModel,2,2,0.05273252553730848,2
PreferenceModel,2,3,0.06218361438997824,2
PreferenceModel,2,4,0.06833114902739705,2
PreferenceModel,3,0,0.02446577939838608,3
PreferenceModel,3,1,0.021819443014762862,3
PreferenceModel,3,2,0.022733060555092107,3
PreferenceModel,3,3,0.023768932438044,3
PreferenceModel,3,4,0.024412168993763878,3
PreferenceModel,4,0,0.007396011737889349,4
PreferenceModel,4,1,0.00666705343247524,4
PreferenceModel,4,2,0.007198324058573038,4
PreferenceModel,4,3,0.006984079201756247,4
PreferenceModel,4,4,0.006641076887013567,4
PreferenceModel,5,0,0.0017403541662765044,5
PreferenceModel,5,1,0.001565803114611468,5
PreferenceModel,5,2,0.0017213104589106913,5
PreferenceModel,5,3,0.0016233695768773906,5
PreferenceModel,5,4,0.0014464456884660064,5
PreferenceModel,6,0,0.0003352206402480097,6
PreferenceModel,6,1,0.00030058946657079587,6
PreferenceModel,6,2,0.0003327518655969355,6
PreferenceModel,6,3,0.0003114377154937029,6
PreferenceModel,6,4,0.0002642481878055112,6
PreferenceModel,7,0,5.486210984287711e-05,7
PreferenceModel,7,1,4.854119742074194e-05,7
PreferenceModel,7,2,5.402241329284052e-05,7
PreferenceModel,7,3,5.061398937347719e-05,7
PreferenceModel,7,4,4.150863521736078e-05,7
PlackettLuceRPC,2,0,0.33476398332114204,2
PlackettLuceRPC,2,1,0.35138445409313634,2
PlackettLuceRPC,2,2,0.35565154604379723,2
PlackettLuceRPC,2,3,0.3485188621322895,2
PlackettLuceRPC,2,4,0.320261289579516,2
PlackettLuceRPC,3,0,0.11227642170370938,3
PlackettLuceRPC,3,1,0.1176906356350637,3
PlackettLuceRPC,3,2,0.11909996502314694,3
PlackettLuceRPC,3,3,0.11629139563779928,3
PlackettLuceRPC,3,4,0.10762772170754029,3
PlackettLuceRPC,4,0,0.028387647829832458,4
PlackettLuceRPC,4,1,0.02982311952128747,4
PlackettLuceRPC,4,2,0.030172445941532577,4
PlackettLuceRPC,4,3,0.02926890829243755,4
PlackettLuceRPC,4,4,0.027525013764161225,4
PlackettLuceRPC,5,0,0.00576011478526197,5
PlackettLuceRPC,5,1,0.006075285843531979,5
PlackettLuceRPC,5,2,0.006153408191532779,5
PlackettLuceRPC,5,3,0.005921860932153308,5
PlackettLuceRPC,5,4,0.005733728596259501,5
PlackettLuceRPC,6,0,0.0009743272622607781,6
PlackettLuceRPC,6,1,0.001032890489032125,6
PlackettLuceRPC,6,2,0.0010516655523260454,6
PlackettLuceRPC,6,3,0.0009999741425254084,6
PlackettLuceRPC,6,4,0.0010059850270908585,6
PlackettLuceRPC,7,0,0.00014096643851107393,7
PlackettLuceRPC,7,1,0.00014981760269635938,7
PlackettLuceRPC,7,2,0.00015432643512655394,7
PlackettLuceRPC,7,3,0.00014379551198798258,7
PlackettLuceRPC,7,4,0.0001483913527475855,7
RPC,2,0,0.028366397458569077,2
RPC,2,1,0.027320761196119696,2
RPC,2,2,0.03248887471556983,2
RPC,2,3,0.02835172420170849,2
RPC,2,4,0.029247213143377533,2
RPC,3,0,-1.0,3
RPC,3,1,-1.0,3
RPC,3,2,-1.0,3
RPC,3,3,-1.0,3
RPC,3,4,-1.0,3
RPC,4,0,-1.0,4
RPC,4,1,-1.0,4
RPC,4,2,-1.0,4
RPC,4,3,-1.0,4
RPC,4,4,-1.0,4
RPC,5,0,-1.0,5
RPC,5,1,-1.0,5
RPC,5,2,-1.0,5
RPC,5,3,-1.0,5
RPC,5,4,-1.0,5
RPC,6,0,-1.0,6
RPC,6,1,-1.0,6
RPC,6,2,-1.0,6
RPC,6,3,-1.0,6
RPC,6,4,-1.0,6
RPC,7,0,-1.0,7
RPC,7,1,-1.0,7
RPC,7,2,-1.0,7
RPC,7,3,-1.0,7
RPC,7,4,-1.0,7
