model,k,fold,ece,k_label
PlackettLuce,2,0,0.017371478329767428,2
PlackettLuce,2,1,0.021907727949188223,2
PlackettLuce,2,2,0.021648886912901486,2
PlackettLuce,2,3,0.02221620954861421,2
PlackettLuce,2,4,0.018877859138661905,2
PlackettLuce,3,0,0.017465441531801063,3
PlackettLuce,3,1,0.018435980920635517,3
PlackettLuce,3,2,0.020136619049368337,3
PlackettLuce,3,3,0.01839991032673944,3
PlackettLuce,3,4,0.01678257328153233,3
PlackettLuce,4,0,0.01132734339760299,4
PlackettLuce,4,1,0.011694152183432985,4
PlackettLuce,4,2,0.012296344580915632,4
PlackettLuce,4,3,0.010929512678076424,4
PlackettLuce,4,4,0.01105039364945783,4
PlackettLuce,5,0,0.010245214020411035,5
PlackettLuce,5,1,0.010635857079230102,5
PlackettLuce,5,2,0.010422547740211932,5
PlackettLuce,5,3,0.010377756173186984,5
PlackettLuce,5,4,0.010231996740923123,5
PlackettLuce,6,0,0.013845242401956441,6
PlackettLuce,6,1,0.014098533041577061,6
PlackettLuce,6,2,0.01366369989561737,6
PlackettLuce,6,3,0.014138394788630923,6
PlackettLuce,6,4,0.013842039518416215,6
PlackettLuce,7,0,0.017838326823561696,7
PlackettLuce,7,1,0.01790533937606698,7
PlackettLuce,7,2,0.017559989842447256,7
PlackettLuce,7,3,0.018040156243200222,7
PlackettLuce,7,4,0.01782171069382641,7
PreferenceModel,2,0,0.018156617502903656,2
PreferenceModel,2,1,0.01307893818219392,2
PreferenceModel,2,2,0.0163600354045186,2
PreferenceModel,2,3,0.01596829136611805,2
PreferenceModel,2,4,0.019388007814995944,2
PreferenceModel,3,0,0.017915750742629046,3
PreferenceModel,3,1,0.012185156110665828,3
PreferenceModel,3,2,0.014383796891031255,3
PreferenceModel,3,3,0.014216473987766048,3
PreferenceModel,3,4,0.01643158511738182,3
PreferenceModel,4,0,0.01094026468190783,4
PreferenceModel,4,1,0.009594665189719567,4
PreferenceModel,4,2,0.010382321926096795,4
PreferenceModel,4,3,0.009108735582848177,4
PreferenceModel,4,4,0.011873417987538102,4
PreferenceModel,5,0,0.010052247291836437,5
PreferenceModel,5,1,0.009687172045938669,5
PreferenceModel,5,2,0.010390188513393074,5
PreferenceModel,5,3,0.008440140615252063,5
PreferenceModel,5,4,0.01117054955797184,5
PreferenceModel,6,0,0.01206578293817695,6
PreferenceModel,6,1,0.011715052535616869,6
PreferenceModel,6,2,0.012392573883823572,6
PreferenceModel,6,3,0.010279271575047228,6
PreferenceModel,6,4,0.012875839442298212,6
PreferenceModel,7,0,0.014460479968494968,7
PreferenceModel,7,1,0.014111582000456717,7
PreferenceModel,7,2,0.014789676140345041,7
PreferenceModel,7,3,0.012592161659783111,7
PreferenceModel,7,4,0.01520148426482751,7
PlackettLuceRPC,2,0,0.08426032400512624,2
PlackettLuceRPC,2,1,0.08199252393318429,2
PlackettLuceRPC,2,2,0.09325162259240945,2
PlackettLuceRPC,2,3,0.08560536462547523,2
PlackettLuceRPC,2,4,0.08896165350008578,2
PlackettLuceRPC,3,0,0.07314729152934714,3
PlackettLuceRPC,3,1,0.07235802134853743,3
PlackettLuceRPC,3,2,0.08227848697098948,3
PlackettLuceRPC,3,3,0.07716105446729454,3
PlackettLuceRPC,3,4,0.07656350264636179,3
PlackettLuceRPC,4,0,0.030128255832598715,4
PlackettLuceRPC,4,1,0.029642857987034532,4
PlackettLuceRPC,4,2,0.033921885846523635,4
PlackettLuceRPC,4,3,0.03141928599397943,4
PlackettLuceRPC,4,4,0.03158977804202247,4
PlackettLuceRPC,5,0,0.00905870817958332,5
PlackettLuceRPC,5,1,0.009081995970313622,5
PlackettLuceRPC,5,2,0.009896846901750859,5
PlackettLuceRPC,5,3,0.009312734351505465,5
PlackettLuceRPC,5,4,0.009399478608422813,5
PlackettLuceRPC,6,0,0.00534198054763075,6
PlackettLuceRPC,6,1,0.005262331284019345,6
PlackettLuceRPC,6,2,0.0053347914430972535,6
PlackettLuceRPC,6,3,0.005144851119604344,6
PlackettLuceRPC,6,4,0.004973996125249056,6
PlackettLuceRPC,7,0,0.007529350076319609,7
PlackettLuceRPC,7,1,0.007419069300595993,7
PlackettLuceRPC,7,2,0.007390899120838142,7
PlackettLuceRPC,7,3,0.007075953553180264,7
PlackettLuceRPC,7,4,0.006731335970515114,7
RPC,2,0,0.023087826993321955,2
RPC,2,1,0.017459203669291344,2
RPC,2,2,0.03345299759946231,2
RPC,2,3,0.029624216388800136,2
RPC,2,4,0.02425964905082115,2
RPC,3,0,-1.0,3
RPC,3,1,-1.0,3
RPC,3,2,-1.0,3
RPC,3,3,-1.0,3
RPC,3,4,-1.0,3
RPC,4,0,-1.0,4
RPC,4,1,-1.0,4
RPC,4,2,-1.0,4
RPC,4,3,-1.0,4
RPC,4,4,-1.0,4
RPC,5,0,-1.0,5
RPC,5,1,-1.0,5
RPC,5,2,-1.0,5
RPC,5,3,-1.0,5
RPC,5,4,-1.0,5
RPC,6,0,-1.0,6
RPC,6,1,-1.0,6
RPC,6,2,-1.0,6
RPC,6,3,-1.0,6
RPC,6,4,-1.0,6
RPC,7,0,-1.0,7
RPC,7,1,-1.0,7
RPC,7,2,-1.0,7
RPC,7,3,-1.0,7
RPC,7,4,-1.0,7
