model,k,fold,ece,k_label
PlackettLuce,2,0,0.24468186497688293,2
PlackettLuce,2,1,0.28055858612060547,2
PlackettLuce,2,2,0.2877797484397888,2
PlackettLuce,2,3,0.22675606608390808,2
PlackettLuce,2,4,0.2303524762392044,2
PlackettLuce,3,0,0.25209105014801025,3
PlackettLuce,3,1,0.2876642644405365,3
PlackettLuce,3,2,0.293027400970459,3
PlackettLuce,3,3,0.23346559703350067,3
PlackettLuce,3,4,0.23922531306743622,3
PlackettLuce,4,0,0.2633526921272278,4
PlackettLuce,4,1,0.2953702509403229,4
PlackettLuce,4,2,0.2975333631038666,4
PlackettLuce,4,3,0.24445681273937225,4
PlackettLuce,4,4,0.24685883522033691,4
PlackettLuce,5,0,0.2838760018348694,5
PlackettLuce,5,1,0.30631816387176514,5
PlackettLuce,5,2,0.30870673060417175,5
PlackettLuce,5,3,0.26352399587631226,5
PlackettLuce,5,4,0.2575977146625519,5
PlackettLuce,6,0,0.3161821663379669,6
PlackettLuce,6,1,0.32209447026252747,6
PlackettLuce,6,2,0.3305741846561432,6
PlackettLuce,6,3,0.2928192913532257,6
PlackettLuce,6,4,0.27562424540519714,6
PlackettLuce,7,0,0.35915902256965637,7
PlackettLuce,7,1,0.3417666554450989,7
PlackettLuce,7,2,0.36055460572242737,7
PlackettLuce,7,3,0.3252897262573242,7
PlackettLuce,7,4,0.30318132042884827,7
PreferenceModel,2,0,0.13220593333244324,2
PreferenceModel,2,1,0.11100883781909943,2
PreferenceModel,2,2,0.11154047399759293,2
PreferenceModel,2,3,0.12340664863586426,2
PreferenceModel,2,4,0.14134767651557922,2
PreferenceModel,3,0,0.15323689579963684,3
PreferenceModel,3,1,0.13453198969364166,3
PreferenceModel,3,2,0.13844776153564453,3
PreferenceModel,3,3,0.13955272734165192,3
PreferenceModel,3,4,0.15905822813510895,3
PreferenceModel,4,0,0.16347208619117737,4
PreferenceModel,4,1,0.1477413922548294,4
PreferenceModel,4,2,0.15029247105121613,4
PreferenceModel,4,3,0.16082748770713806,4
PreferenceModel,4,4,0.16973423957824707,4
PreferenceModel,5,0,0.1793888807296753,5
PreferenceModel,5,1,0.15967175364494324,5
PreferenceModel,5,2,0.15913386642932892,5
PreferenceModel,5,3,0.18199202418327332,5
PreferenceModel,5,4,0.181318998336792,5
PreferenceModel,6,0,0.200530543923378,6
PreferenceModel,6,1,0.17505386471748352,6
PreferenceModel,6,2,0.17309042811393738,6
PreferenceModel,6,3,0.20439301431179047,6
PreferenceModel,6,4,0.19768260419368744,6
PreferenceModel,7,0,0.22204653918743134,7
PreferenceModel,7,1,0.19433343410491943,7
PreferenceModel,7,2,0.18841668963432312,7
PreferenceModel,7,3,0.22093024849891663,7
PreferenceModel,7,4,0.22039736807346344,7
PlackettLuceRPC,2,0,0.6696771383285522,2
PlackettLuceRPC,2,1,0.7027689814567566,2
PlackettLuceRPC,2,2,0.7113030552864075,2
PlackettLuceRPC,2,3,0.6970376968383789,2
PlackettLuceRPC,2,4,0.6398150324821472,2
PlackettLuceRPC,3,0,0.6710852980613708,3
PlackettLuceRPC,3,1,0.7059995532035828,3
PlackettLuceRPC,3,2,0.7139641046524048,3
PlackettLuceRPC,3,3,0.7002426385879517,3
PlackettLuceRPC,3,4,0.6457839012145996,3
PlackettLuceRPC,4,0,0.6712262034416199,4
PlackettLuceRPC,4,1,0.7049415111541748,4
PlackettLuceRPC,4,2,0.7135686874389648,4
PlackettLuceRPC,4,3,0.7036339044570923,4
PlackettLuceRPC,4,4,0.6461661458015442,4
PlackettLuceRPC,5,0,0.6733725666999817,5
PlackettLuceRPC,5,1,0.7051730155944824,5
PlackettLuceRPC,5,2,0.7146078944206238,5
PlackettLuceRPC,5,3,0.7092204689979553,5
PlackettLuceRPC,5,4,0.6484765410423279,5
PlackettLuceRPC,6,0,0.6787342429161072,6
PlackettLuceRPC,6,1,0.7059103846549988,6
PlackettLuceRPC,6,2,0.7175284624099731,6
PlackettLuceRPC,6,3,0.7173524498939514,6
PlackettLuceRPC,6,4,0.6543615460395813,6
PlackettLuceRPC,7,0,0.6856917142868042,7
PlackettLuceRPC,7,1,0.7073369026184082,7
PlackettLuceRPC,7,2,0.7217876315116882,7
PlackettLuceRPC,7,3,0.7262311577796936,7
PlackettLuceRPC,7,4,0.6651033163070679,7
RPC,2,0,0.06740299612283707,2
RPC,2,1,0.06891287863254547,2
RPC,2,2,0.056372057646512985,2
RPC,2,3,0.0790981650352478,2
RPC,2,4,0.061278730630874634,2
RPC,3,0,-1.0,3
RPC,3,1,-1.0,3
RPC,3,2,-1.0,3
RPC,3,3,-1.0,3
RPC,3,4,-1.0,3
RPC,4,0,-1.0,4
RPC,4,1,-1.0,4
RPC,4,2,-1.0,4
RPC,4,3,-1.0,4
RPC,4,4,-1.0,4
RPC,5,0,-1.0,5
RPC,5,1,-1.0,5
RPC,5,2,-1.0,5
RPC,5,3,-1.0,5
RPC,5,4,-1.0,5
RPC,6,0,-1.0,6
RPC,6,1,-1.0,6
RPC,6,2,-1.0,6
RPC,6,3,-1.0,6
RPC,6,4,-1.0,6
RPC,7,0,-1.0,7
RPC,7,1,-1.0,7
RPC,7,2,-1.0,7
RPC,7,3,-1.0,7
RPC,7,4,-1.0,7
