model,k,fold,ece,k_label
PlackettLuce,1,0,0.017251585920651753,1
PlackettLuce,1,1,0.003292212883631388,1
PlackettLuce,1,2,0.013536627093950907,1
PlackettLuce,1,3,0.006547709306081136,1
PlackettLuce,1,4,0.013678019245465597,1
PlackettLuce,2,0,0.008625822762648264,2
PlackettLuce,2,1,0.004223705579837163,2
PlackettLuce,2,2,0.007792241871356964,2
PlackettLuce,2,3,0.004561336090167363,2
PlackettLuce,2,4,0.0068390195568402605,2
PreferenceModel,1,0,0.01855255166689555,1
PreferenceModel,1,1,0.001584574580192566,1
PreferenceModel,1,2,0.015905052423477173,1
PreferenceModel,1,3,0.009362677733103434,1
PreferenceModel,1,4,0.00979045033454895,1
PreferenceModel,2,0,0.009276257206996283,2
PreferenceModel,2,1,0.00273788720369339,2
PreferenceModel,2,2,0.009483816723028818,2
PreferenceModel,2,3,0.004749830812215805,2
PreferenceModel,2,4,0.005386955415209134,2
PlackettLuceRPC,1,0,0.01477221151192983,1
PlackettLuceRPC,1,1,0.002834950884183248,1
PlackettLuceRPC,1,2,0.012304713328679403,1
PlackettLuceRPC,1,3,0.004615108172098796,1
PlackettLuceRPC,1,4,0.013441786170005798,1
PlackettLuceRPC,2,0,0.007421514640251796,2
PlackettLuceRPC,2,1,0.004491166522105535,2
PlackettLuceRPC,2,2,0.0074231065809726715,2
PlackettLuceRPC,2,3,0.0029090195894241333,2
PlackettLuceRPC,2,4,0.006720873216787974,2
