model,k,fold,ece,k_label
PlackettLuce,2,0,0.06329073438731332,2
PlackettLuce,2,1,0.053627412067726254,2
PlackettLuce,2,2,0.05319108379383882,2
PlackettLuce,2,3,0.05613648449070752,2
PlackettLuce,2,4,0.05939841348056992,2
PlackettLuce,3,0,0.05294474549009465,3
PlackettLuce,3,1,0.04993897499904657,3
PlackettLuce,3,2,0.04473725466717345,3
PlackettLuce,3,3,0.04851759903734395,3
PlackettLuce,3,4,0.03785048160352744,3
PlackettLuce,4,0,0.02499863997218199,4
PlackettLuce,4,1,0.019731746783994215,4
PlackettLuce,4,2,0.016767586719652172,4
PlackettLuce,4,3,0.01867725487439505,4
PlackettLuce,4,4,0.014351087680552155,4
MallowsModel,2,0,0.1625147412220637,2
MallowsModel,2,1,0.16910422841707864,2
MallowsModel,2,2,0.12125547230243683,2
MallowsModel,2,3,0.14384091397126517,2
MallowsModel,2,4,0.13828182220458984,2
MallowsModel,3,0,0.1965019777417183,3
MallowsModel,3,1,0.18702107419570288,3
MallowsModel,3,2,0.1658077339331309,3
MallowsModel,3,3,0.17181618263324103,3
MallowsModel,3,4,0.1793231045206388,3
MallowsModel,4,0,0.0957478607694308,4
MallowsModel,4,1,0.08737079054117203,4
MallowsModel,4,2,0.08866515507300694,4
MallowsModel,4,3,0.08713800460100174,4
MallowsModel,4,4,0.08888920396566391,4
PreferenceModel,2,0,0.07191817120959361,2
PreferenceModel,2,1,0.05505131557583809,2
PreferenceModel,2,2,0.047134561308970056,2
PreferenceModel,2,3,0.05448373422647516,2
PreferenceModel,2,4,0.05023365747183561,2
PreferenceModel,3,0,0.045235570326137044,3
PreferenceModel,3,1,0.043063831535012774,3
PreferenceModel,3,2,0.032444122325008116,3
PreferenceModel,3,3,0.039924882585182786,3
PreferenceModel,3,4,0.03267937128839549,3
PreferenceModel,4,0,0.030090546924232815,4
PreferenceModel,4,1,0.019439827873914812,4
PreferenceModel,4,2,0.016846752356893074,4
PreferenceModel,4,3,0.019587498662682872,4
PreferenceModel,4,4,0.01577868717746848,4
PlackettLuceRPC,2,0,0.2110192123800516,2
PlackettLuceRPC,2,1,0.21547061360130706,2
PlackettLuceRPC,2,2,0.17114906602849564,2
PlackettLuceRPC,2,3,0.21171893272548914,2
PlackettLuceRPC,2,4,0.18601435159022608,2
PlackettLuceRPC,3,0,0.23675022825288275,3
PlackettLuceRPC,3,1,0.21337992204159187,3
PlackettLuceRPC,3,2,0.18947177429799922,3
PlackettLuceRPC,3,3,0.21914850493582586,3
PlackettLuceRPC,3,4,0.2014167234689618,3
PlackettLuceRPC,4,0,0.1023373395970945,4
PlackettLuceRPC,4,1,0.09180179339212675,4
PlackettLuceRPC,4,2,0.08531575714975285,4
PlackettLuceRPC,4,3,0.09048249475502719,4
PlackettLuceRPC,4,4,0.09281040526305635,4
RPC,2,0,0.7773740862806638,2
RPC,2,1,0.8649626473585764,2
RPC,2,2,0.8804888427257538,2
RPC,2,3,0.8475281894207001,2
RPC,2,4,0.9112695157527924,2
RPC,3,0,-1.0,3
RPC,3,1,-1.0,3
RPC,3,2,-1.0,3
RPC,3,3,-1.0,3
RPC,3,4,-1.0,3
RPC,4,0,-1.0,4
RPC,4,1,-1.0,4
RPC,4,2,-1.0,4
RPC,4,3,-1.0,4
RPC,4,4,-1.0,4
