model,k,fold,ece,k_label
PlackettLuce,2,0,0.12317727537204821,2
PlackettLuce,2,1,0.11347469749550025,2
PlackettLuce,2,2,0.127034996325771,2
PlackettLuce,2,3,0.10160444521655639,2
PlackettLuce,2,4,0.1158155823747317,2
PlackettLuce,3,0,0.07157473766649976,3
PlackettLuce,3,1,0.0638036224214981,3
PlackettLuce,3,2,0.056308829749468714,3
PlackettLuce,3,3,0.06320466054603457,3
PlackettLuce,3,4,0.05451764465154459,3
PlackettLuce,4,0,0.06333293691992974,4
PlackettLuce,4,1,0.059419912906984486,4
PlackettLuce,4,2,0.05194339115405455,4
PlackettLuce,4,3,0.05527153064031154,4
PlackettLuce,4,4,0.0517418843616421,4
PreferenceModel,2,0,0.06575083608428638,2
PreferenceModel,2,1,0.04086442035622895,2
PreferenceModel,2,2,0.033033585641533136,2
PreferenceModel,2,3,0.0490692718885839,2
PreferenceModel,2,4,0.06220304577921828,2
PreferenceModel,3,0,0.06351446593180299,3
PreferenceModel,3,1,0.040143699889692165,3
PreferenceModel,3,2,0.028963467455469072,3
PreferenceModel,3,3,0.04528895969269797,3
PreferenceModel,3,4,0.03992328862659633,3
PreferenceModel,4,0,0.06361756411691506,4
PreferenceModel,4,1,0.054071016590266176,4
PreferenceModel,4,2,0.04758501681499183,4
PreferenceModel,4,3,0.051558388028449066,4
PreferenceModel,4,4,0.04904950576989601,4
PlackettLuceRPC,2,0,0.31525856877366704,2
PlackettLuceRPC,2,1,0.323822058737278,2
PlackettLuceRPC,2,2,0.30464381848772365,2
PlackettLuceRPC,2,3,0.26304595296581584,2
PlackettLuceRPC,2,4,0.30829708526531857,2
PlackettLuceRPC,3,0,0.1285558899010842,3
PlackettLuceRPC,3,1,0.12131926310636724,3
PlackettLuceRPC,3,2,0.10785335562347124,3
PlackettLuceRPC,3,3,0.10307150925897683,3
PlackettLuceRPC,3,4,0.11327411254751496,3
PlackettLuceRPC,4,0,0.07571715430822223,4
PlackettLuceRPC,4,1,0.06975113888620399,4
PlackettLuceRPC,4,2,0.06726829305989668,4
PlackettLuceRPC,4,3,0.06341659632744268,4
PlackettLuceRPC,4,4,0.06710196725907736,4
RPC,2,0,0.09612003931154807,2
RPC,2,1,0.07022045164679487,2
RPC,2,2,0.04396253187830249,2
RPC,2,3,0.050938958302140236,2
RPC,2,4,0.08616802111888926,2
RPC,3,0,-1.0,3
RPC,3,1,-1.0,3
RPC,3,2,-1.0,3
RPC,3,3,-1.0,3
RPC,3,4,-1.0,3
RPC,4,0,-1.0,4
RPC,4,1,-1.0,4
RPC,4,2,-1.0,4
RPC,4,3,-1.0,4
RPC,4,4,-1.0,4
