model,k,fold,ece,k_label
PlackettLuce,2,0,0.10860702147086461,2
PlackettLuce,2,1,0.09549815983821948,2
PlackettLuce,2,2,0.11954495993753274,2
PlackettLuce,2,3,0.0911318917448322,2
PlackettLuce,2,4,0.10421894304454327,2
PlackettLuce,3,0,0.05859650790292411,3
PlackettLuce,3,1,0.05969760203637028,3
PlackettLuce,3,2,0.05380146123934537,3
PlackettLuce,3,3,0.056630731211043894,3
PlackettLuce,3,4,0.04711936957513293,3
PlackettLuce,4,0,0.05546495384836211,4
PlackettLuce,4,1,0.05256704048467024,4
PlackettLuce,4,2,0.04851443242902557,4
PlackettLuce,4,3,0.05202120445513477,4
PlackettLuce,4,4,0.048022812930867076,4
PreferenceModel,2,0,0.041186703369021416,2
PreferenceModel,2,1,0.03529125351148347,2
PreferenceModel,2,2,0.028244760120287538,2
PreferenceModel,2,3,0.046820972580462694,2
PreferenceModel,2,4,0.057316628439972796,2
PreferenceModel,3,0,0.04571723689635595,3
PreferenceModel,3,1,0.03247895596238474,3
PreferenceModel,3,2,0.02583467768272385,3
PreferenceModel,3,3,0.04056476595966766,3
PreferenceModel,3,4,0.03359883411030751,3
PreferenceModel,4,0,0.05627172766253352,4
PreferenceModel,4,1,0.048001902837616704,4
PreferenceModel,4,2,0.04464338048516462,4
PreferenceModel,4,3,0.048982738556029894,4
PreferenceModel,4,4,0.04560826585172132,4
PlackettLuceRPC,2,0,0.2802621933321158,2
PlackettLuceRPC,2,1,0.31450312584638596,2
PlackettLuceRPC,2,2,0.2960783715049426,2
PlackettLuceRPC,2,3,0.24511530622839928,2
PlackettLuceRPC,2,4,0.29573043684164685,2
PlackettLuceRPC,3,0,0.11102492765833934,3
PlackettLuceRPC,3,1,0.12014004906329016,3
PlackettLuceRPC,3,2,0.10599962507452194,3
PlackettLuceRPC,3,3,0.08755945700007335,3
PlackettLuceRPC,3,4,0.10032833020280425,3
PlackettLuceRPC,4,0,0.06743013301941876,4
PlackettLuceRPC,4,1,0.06396464359325667,4
PlackettLuceRPC,4,2,0.06172107235761359,4
PlackettLuceRPC,4,3,0.05950566372727432,4
PlackettLuceRPC,4,4,0.05944441359800597,4
RPC,2,0,0.0937860341121753,2
RPC,2,1,0.06151666484462718,2
RPC,2,2,0.03641025931574404,2
RPC,2,3,0.04067282875378927,2
RPC,2,4,0.07562346927200754,2
RPC,3,0,-1.0,3
RPC,3,1,-1.0,3
RPC,3,2,-1.0,3
RPC,3,3,-1.0,3
RPC,3,4,-1.0,3
RPC,4,0,-1.0,4
RPC,4,1,-1.0,4
RPC,4,2,-1.0,4
RPC,4,3,-1.0,4
RPC,4,4,-1.0,4
