model,k,fold,ece,k_label
PlackettLuce,1,0,0.062071419152440896,1
PlackettLuce,1,1,0.06771307072622333,1
PlackettLuce,1,2,0.059005304620028565,1
PlackettLuce,1,3,0.04988675792531179,1
PlackettLuce,1,4,0.07133291213755943,1
PlackettLuce,2,0,0.03057023973291387,2
PlackettLuce,2,1,0.03162694827870488,2
PlackettLuce,2,2,0.026532244801571434,2
PlackettLuce,2,3,0.024594280289531482,2
PlackettLuce,2,4,0.02801036721990355,2
PlackettLuce,3,0,0.01585379913063632,3
PlackettLuce,3,1,0.015813474139352444,3
PlackettLuce,3,2,0.012832967869601914,3
PlackettLuce,3,3,0.014819247104848424,3
PlackettLuce,3,4,0.013432749811873231,3
PreferenceModel,1,0,0.03918426097615012,1
PreferenceModel,1,1,0.047970412491625286,1
PreferenceModel,1,2,0.04117453961072039,1
PreferenceModel,1,3,0.04357162358880998,1
PreferenceModel,1,4,0.04996191145403793,1
PreferenceModel,2,0,0.022188705342039896,2
PreferenceModel,2,1,0.024656171358330366,2
PreferenceModel,2,2,0.018230407330059057,2
PreferenceModel,2,3,0.019921715593730228,2
PreferenceModel,2,4,0.02131024117767427,2
PreferenceModel,3,0,0.012648232065704578,3
PreferenceModel,3,1,0.012328085679165183,3
PreferenceModel,3,2,0.009944559135194675,3
PreferenceModel,3,3,0.011855580362943721,3
PreferenceModel,3,4,0.010719056807122089,3
PlackettLuceRPC,1,0,0.10462010183183326,1
PlackettLuceRPC,1,1,0.12713699666553255,1
PlackettLuceRPC,1,2,0.11040788843558222,1
PlackettLuceRPC,1,3,0.09322701219260612,1
PlackettLuceRPC,1,4,0.09885688963630754,1
PlackettLuceRPC,2,0,0.04523023593942769,2
PlackettLuceRPC,2,1,0.049086408875978434,2
PlackettLuceRPC,2,2,0.03957202170691578,2
PlackettLuceRPC,2,3,0.04016876133592758,2
PlackettLuceRPC,2,4,0.03810127110291395,2
PlackettLuceRPC,3,0,0.02524765164168827,3
PlackettLuceRPC,3,1,0.024543204437989217,3
PlackettLuceRPC,3,2,0.02220951171834591,3
PlackettLuceRPC,3,3,0.022142941912608242,3
PlackettLuceRPC,3,4,0.019485498564255542,3
