model,k,fold,ece,k_label
PlackettLuce,1,0,0.0679414439966957,1
PlackettLuce,1,1,0.06292410136321724,1
PlackettLuce,1,2,0.06237011313295135,1
PlackettLuce,1,3,0.05873226290623817,1
PlackettLuce,1,4,0.07751164062585153,1
PlackettLuce,2,0,0.042349893035020174,2
PlackettLuce,2,1,0.039390774325493365,2
PlackettLuce,2,2,0.03583778248304461,2
PlackettLuce,2,3,0.0366114373763158,2
PlackettLuce,2,4,0.03453753058143288,2
PlackettLuce,3,0,0.022989473262443393,3
PlackettLuce,3,1,0.022353023729631282,3
PlackettLuce,3,2,0.019787489733776066,3
PlackettLuce,3,3,0.02009405082733351,3
PlackettLuce,3,4,0.01925041145281485,3
MallowsModel,1,0,0.08059202460572124,1
MallowsModel,1,1,0.09118429338559508,1
MallowsModel,1,2,0.08779023308306932,1
MallowsModel,1,3,0.10250502824783325,1
MallowsModel,1,4,0.0709987198933959,1
MallowsModel,2,0,0.08581284976874788,2
MallowsModel,2,1,0.08267576262975733,2
MallowsModel,2,2,0.07964097646375497,2
MallowsModel,2,3,0.08014299689481656,2
MallowsModel,2,4,0.08428733671704929,2
MallowsModel,3,0,0.05193194987562796,3
MallowsModel,3,1,0.04732186424856385,3
MallowsModel,3,2,0.047734360482233264,3
MallowsModel,3,3,0.046126786017945655,3
MallowsModel,3,4,0.04828203630556042,3
PreferenceModel,1,0,0.05710967374308144,1
PreferenceModel,1,1,0.0579030913460625,1
PreferenceModel,1,2,0.04472716466920484,1
PreferenceModel,1,3,0.050047690847877566,1
PreferenceModel,1,4,0.047125480103323,1
PreferenceModel,2,0,0.028615306393464168,2
PreferenceModel,2,1,0.023386705852138007,2
PreferenceModel,2,2,0.01879045527065136,2
PreferenceModel,2,3,0.02445108251918485,2
PreferenceModel,2,4,0.0229685890052745,2
PreferenceModel,3,0,0.017929682736773294,3
PreferenceModel,3,1,0.013298377377462292,3
PreferenceModel,3,2,0.011642973003185888,3
PreferenceModel,3,3,0.014953498210046648,3
PreferenceModel,3,4,0.011742683824710115,3
PlackettLuceRPC,1,0,0.09332360229169814,1
PlackettLuceRPC,1,1,0.09213394949270692,1
PlackettLuceRPC,1,2,0.10610446912655332,1
PlackettLuceRPC,1,3,0.09296107702263662,1
PlackettLuceRPC,1,4,0.11091656730407914,1
PlackettLuceRPC,2,0,0.045008043749527604,2
PlackettLuceRPC,2,1,0.042409049214691956,2
PlackettLuceRPC,2,2,0.04669399901195979,2
PlackettLuceRPC,2,3,0.0430526853554016,2
PlackettLuceRPC,2,4,0.04527435276056726,2
PlackettLuceRPC,3,0,0.026864973486585564,3
PlackettLuceRPC,3,1,0.026111361704647226,3
PlackettLuceRPC,3,2,0.02744642799171264,3
PlackettLuceRPC,3,3,0.027500470635182645,3
PlackettLuceRPC,3,4,0.02608583251600081,3
RPC,1,0,-1.0,1
RPC,1,1,-1.0,1
RPC,1,2,-1.0,1
RPC,1,3,-1.0,1
RPC,1,4,-1.0,1
RPC,2,0,0.48529411846790094,2
RPC,2,1,0.49457593620350654,2
RPC,2,2,0.4975345171593071,2
RPC,2,3,0.49063116449107746,2
RPC,2,4,0.4945759369543509,2
RPC,3,0,-1.0,3
RPC,3,1,-1.0,3
RPC,3,2,-1.0,3
RPC,3,3,-1.0,3
RPC,3,4,-1.0,3
