model,k,fold,ece,k_label
PlackettLuce,1,0,0.18434354662895203,1
PlackettLuce,1,1,0.2013663947582245,1
PlackettLuce,1,2,0.20285804569721222,1
PlackettLuce,1,3,0.21332277357578278,1
PlackettLuce,1,4,0.20598040521144867,1
PlackettLuce,2,0,0.3811720311641693,2
PlackettLuce,2,1,0.4156110882759094,2
PlackettLuce,2,2,0.42686524987220764,2
PlackettLuce,2,3,0.4145122170448303,2
PlackettLuce,2,4,0.37468641996383667,2
PlackettLuce,3,0,0.5382508635520935,3
PlackettLuce,3,1,0.5308137536048889,3
PlackettLuce,3,2,0.5763593316078186,3
PlackettLuce,3,3,0.5460091233253479,3
PlackettLuce,3,4,0.5268409848213196,3
PreferenceModel,1,0,0.18968258798122406,1
PreferenceModel,1,1,0.17575043439865112,1
PreferenceModel,1,2,0.18967591226100922,1
PreferenceModel,1,3,0.1865166574716568,1
PreferenceModel,1,4,0.2277848720550537,1
PreferenceModel,2,0,0.3462317883968353,2
PreferenceModel,2,1,0.3111245036125183,2
PreferenceModel,2,2,0.31206050515174866,2
PreferenceModel,2,3,0.3322247862815857,2
PreferenceModel,2,4,0.2872321605682373,2
PreferenceModel,3,0,0.399636447429657,3
PreferenceModel,3,1,0.37139591574668884,3
PreferenceModel,3,2,0.3487090766429901,3
PreferenceModel,3,3,0.35736653208732605,3
PreferenceModel,3,4,0.32621756196022034,3
PlackettLuceRPC,1,0,0.24605712294578552,1
PlackettLuceRPC,1,1,0.25526365637779236,1
PlackettLuceRPC,1,2,0.2632831335067749,1
PlackettLuceRPC,1,3,0.24314765632152557,1
PlackettLuceRPC,1,4,0.22237996757030487,1
PlackettLuceRPC,2,0,0.5522408485412598,2
PlackettLuceRPC,2,1,0.5594956278800964,2
PlackettLuceRPC,2,2,0.6553008556365967,2
PlackettLuceRPC,2,3,0.5413877964019775,2
PlackettLuceRPC,2,4,0.5935879349708557,2
PlackettLuceRPC,3,0,0.8726774454116821,3
PlackettLuceRPC,3,1,0.8267685174942017,3
PlackettLuceRPC,3,2,0.8914626836776733,3
PlackettLuceRPC,3,3,0.7925721406936646,3
PlackettLuceRPC,3,4,0.7909802198410034,3
