model,k,fold,ece,k_label
PlackettLuce,2,0,0.9470118777318435,2
PlackettLuce,2,1,0.951547313820232,2
PlackettLuce,2,2,0.9381325163624503,2
PlackettLuce,2,3,0.9489268416708166,2
PlackettLuce,2,4,0.9326123904098164,2
PlackettLuce,3,0,0.6202314529015774,3
PlackettLuce,3,1,0.6381980953161513,3
PlackettLuce,3,2,0.6081853036598492,3
PlackettLuce,3,3,0.6283540269537153,3
PlackettLuce,3,4,0.5831152755485429,3
PlackettLuce,4,0,0.3515101185751698,4
PlackettLuce,4,1,0.36453274082509135,4
PlackettLuce,4,2,0.3618098438627373,4
PlackettLuce,4,3,0.3583600434277996,4
PlackettLuce,4,4,0.3394721173882261,4
PlackettLuce,5,0,0.24215617008783996,5
PlackettLuce,5,1,0.25499257157873717,5
PlackettLuce,5,2,0.25720840734140793,5
PlackettLuce,5,3,0.24673782941627476,5
PlackettLuce,5,4,0.24307189950249583,5
PlackettLuce,6,0,0.19671797480142628,6
PlackettLuce,6,1,0.2074404759635212,6
PlackettLuce,6,2,0.2092157338950815,6
PlackettLuce,6,3,0.19823764826123916,6
PlackettLuce,6,4,0.19912082426999766,6
PlackettLuce,7,0,0.17336644409237295,7
PlackettLuce,7,1,0.18191506106313868,7
PlackettLuce,7,2,0.18330223855814234,7
PlackettLuce,7,3,0.17299363394100498,7
PlackettLuce,7,4,0.17461640576657556,7
PlackettLuce,8,0,0.15917228867044603,8
PlackettLuce,8,1,0.16601997495362705,8
PlackettLuce,8,2,0.16744663514542263,8
PlackettLuce,8,3,0.15807575010466277,8
PlackettLuce,8,4,0.15890207640006485,8
PlackettLuce,9,0,0.14965428310231887,9
PlackettLuce,9,1,0.1552555880203037,9
PlackettLuce,9,2,0.1567786928374192,9
PlackettLuce,9,3,0.14851837980365823,9
PlackettLuce,9,4,0.14823620926777148,9
PlackettLuce,10,0,0.1428722247200192,10
PlackettLuce,10,1,0.14757147653097658,10
PlackettLuce,10,2,0.14923296944059508,10
PlackettLuce,10,3,0.14197131671250723,10
PlackettLuce,10,4,0.14100847549042114,10
PlackettLuce,11,0,0.1377409427631192,11
PlackettLuce,11,1,0.1419368392965767,11
PlackettLuce,11,2,0.1438265171918002,11
PlackettLuce,11,3,0.1374213901059381,11
PlackettLuce,11,4,0.13627567229332863,11
MallowsModel,2,0,0.9891273623163049,2
MallowsModel,2,1,0.990076339786703,2
MallowsModel,2,2,0.9873040025884455,2
MallowsModel,2,3,0.990377676486969,2
MallowsModel,2,4,0.9882606208324433,2
MallowsModel,3,0,0.7489349910511105,3
MallowsModel,3,1,0.7554936288286231,3
MallowsModel,3,2,0.7392820679372357,3
MallowsModel,3,3,0.7650073410088618,3
MallowsModel,3,4,0.7235158566341867,3
MallowsModel,4,0,0.4611115137467513,4
MallowsModel,4,1,0.46110985599418375,4
MallowsModel,4,2,0.47460078030404024,4
MallowsModel,4,3,0.4765505733534615,4
MallowsModel,4,4,0.4580014338338278,4
MallowsModel,5,0,0.32735257273051827,5
MallowsModel,5,1,0.3294506766270419,5
MallowsModel,5,2,0.3474841283809136,5
MallowsModel,5,3,0.3387583085126466,5
MallowsModel,5,4,0.3394434712476425,5
MallowsModel,6,0,0.27006649842896424,6
MallowsModel,6,1,0.2703083405165757,6
MallowsModel,6,2,0.28706791585518854,6
MallowsModel,6,3,0.27573913989661414,6
MallowsModel,6,4,0.28307106444512514,6
MallowsModel,7,0,0.24072280060917955,7
MallowsModel,7,1,0.2382712078972486,7
MallowsModel,7,2,0.25446497366947285,7
MallowsModel,7,3,0.24219112016026076,7
MallowsModel,7,4,0.2511421402270703,7
MallowsModel,8,0,0.22293660301073773,8
MallowsModel,8,1,0.21816815082935911,8
MallowsModel,8,2,0.23463626921374275,8
MallowsModel,8,3,0.22201393075133866,8
