model,k,fold,ece,k_label
PlackettLuce,2,0,0.11067932269846399,2
PlackettLuce,2,1,0.1887132152915001,2
PlackettLuce,2,2,0.13378700241446495,2
PlackettLuce,2,3,0.11217853411411245,2
PlackettLuce,2,4,0.11253252578899264,2
PlackettLuce,3,0,0.14560353197157383,3
PlackettLuce,3,1,0.22214695314566293,3
PlackettLuce,3,2,0.17126174146930376,3
PlackettLuce,3,3,0.15360032549748817,3
PlackettLuce,3,4,0.1454347645243009,3
MallowsModel,2,0,0.1913897693157196,2
MallowsModel,2,1,0.3221271534760793,2
MallowsModel,2,2,0.14119532704353333,2
MallowsModel,2,3,0.27714677651723224,2
MallowsModel,2,4,0.2253754436969757,2
MallowsModel,3,0,0.22725842396418253,3
MallowsModel,3,1,0.28231701254844666,3
MallowsModel,3,2,0.19880489508310953,3
MallowsModel,3,3,0.25629763801892597,3
MallowsModel,3,4,0.2356948951880137,3
PreferenceModel,2,0,0.10063780223329861,2
PreferenceModel,2,1,0.15045552452405295,2
PreferenceModel,2,2,0.052417767544587456,2
PreferenceModel,2,3,0.13738835913439593,2
PreferenceModel,2,4,0.09469874575734138,2
PreferenceModel,3,0,0.12706427617619434,3
PreferenceModel,3,1,0.19074461174507937,3
PreferenceModel,3,2,0.11521118367090821,3
PreferenceModel,3,3,0.15854159804681936,3
PreferenceModel,3,4,0.1508337895696362,3
PlackettLuceRPC,2,0,0.1810296637316545,2
PlackettLuceRPC,2,1,0.38533758620421094,2
PlackettLuceRPC,2,2,0.16823160275816917,2
PlackettLuceRPC,2,3,0.25759350260098773,2
PlackettLuceRPC,2,4,0.2559928521513939,2
PlackettLuceRPC,3,0,0.22971790532271066,3
PlackettLuceRPC,3,1,0.3236161569754283,3
PlackettLuceRPC,3,2,0.19368818153937659,3
PlackettLuceRPC,3,3,0.2444155445943276,3
PlackettLuceRPC,3,4,0.2348169187704722,3
RPC,2,0,0.1784090722600619,2
RPC,2,1,0.2733149553338687,2
RPC,2,2,0.1164100207388401,2
RPC,2,3,0.1837384526928266,2
RPC,2,4,0.18955195198456445,2
RPC,3,0,-1.0,3
RPC,3,1,-1.0,3
RPC,3,2,-1.0,3
RPC,3,3,-1.0,3
RPC,3,4,-1.0,3
