model,k,fold,ece,k_label
PlackettLuce,1,0,0.13882720477524257,1
PlackettLuce,1,1,0.20081123773540768,1
PlackettLuce,1,2,0.18257290502300572,1
PlackettLuce,1,3,0.138615985985334,1
PlackettLuce,1,4,0.13482406048341564,1
PlackettLuce,2,0,0.07460371593811682,2
PlackettLuce,2,1,0.10040561886770384,2
PlackettLuce,2,2,0.1034548842902517,2
PlackettLuce,2,3,0.0813188711820426,2
PlackettLuce,2,4,0.06632401684399548,2
MallowsModel,1,0,0.21770980519553026,1
MallowsModel,1,1,0.21086864608029524,1
MallowsModel,1,2,0.13781684078276157,1
MallowsModel,1,3,0.2419704863180717,1
MallowsModel,1,4,0.21487599797546864,1
MallowsModel,2,0,0.10885489483674367,2
MallowsModel,2,1,0.10543432304014762,2
MallowsModel,2,2,0.0744115033497413,2
MallowsModel,2,3,0.12098525029917558,2
MallowsModel,2,4,0.107437988743186,2
PreferenceModel,1,0,0.082363830901505,1
PreferenceModel,1,1,0.14411418278302465,1
PreferenceModel,1,2,0.09269002425440011,1
PreferenceModel,1,3,0.11084454586985065,1
PreferenceModel,1,4,0.08283627555504733,1
PreferenceModel,2,0,0.04305846999133272,2
PreferenceModel,2,1,0.07205709139151233,2
PreferenceModel,2,2,0.042641146647344745,2
PreferenceModel,2,3,0.06509284298940032,2
PreferenceModel,2,4,0.048417377539033836,2
PlackettLuceRPC,1,0,0.22676372662896202,1
PlackettLuceRPC,1,1,0.2544938544432322,1
PlackettLuceRPC,1,2,0.20795919627306003,1
PlackettLuceRPC,1,3,0.23319684325114767,1
PlackettLuceRPC,1,4,0.20209540715258498,1
PlackettLuceRPC,2,0,0.13253623098134995,2
PlackettLuceRPC,2,1,0.1272469272216161,2
PlackettLuceRPC,2,2,0.11091532069480135,2
PlackettLuceRPC,2,3,0.1233410816730968,2
PlackettLuceRPC,2,4,0.11452501331109043,2
