model,k,fold,ece,k_label
PlackettLuce,1,0,0.10970186442136765,1
PlackettLuce,1,1,0.1671390434106191,1
PlackettLuce,1,2,0.13624881456295648,1
PlackettLuce,1,3,0.09787471033632755,1
PlackettLuce,1,4,0.09901897485057513,1
PlackettLuce,2,0,0.14560353197157383,2
PlackettLuce,2,1,0.22214695314566293,2
PlackettLuce,2,2,0.17126174146930376,2
PlackettLuce,2,3,0.15360032549748817,2
PlackettLuce,2,4,0.1454347645243009,2
MallowsModel,1,0,0.2670719623565674,1
MallowsModel,1,1,0.2874791622161865,1
MallowsModel,1,2,0.16939038038253784,1
MallowsModel,1,3,0.3345014651616414,1
MallowsModel,1,4,0.2816611925760905,1
MallowsModel,2,0,0.22725842396418253,2
MallowsModel,2,1,0.28231701254844666,2
MallowsModel,2,2,0.19880489508310953,2
MallowsModel,2,3,0.25629763801892597,2
MallowsModel,2,4,0.2356948951880137,2
PreferenceModel,1,0,0.07413470186293125,1
PreferenceModel,1,1,0.10433436060945193,1
PreferenceModel,1,2,0.04852278592685858,1
PreferenceModel,1,3,0.10776343320806821,1
PreferenceModel,1,4,0.08461330644786358,1
PreferenceModel,2,0,0.12706427617619434,2
PreferenceModel,2,1,0.19074461174507937,2
PreferenceModel,2,2,0.11521118367090821,2
PreferenceModel,2,3,0.15854159804681936,2
PreferenceModel,2,4,0.1508337895696362,2
PlackettLuceRPC,1,0,0.27250535786151886,1
PlackettLuceRPC,1,1,0.3700774510701497,1
PlackettLuceRPC,1,2,0.16862579186757407,1
PlackettLuceRPC,1,3,0.2947468161582947,1
PlackettLuceRPC,1,4,0.28186991810798645,1
PlackettLuceRPC,2,0,0.22971790532271066,2
PlackettLuceRPC,2,1,0.3236161569754283,2
PlackettLuceRPC,2,2,0.19368818153937659,2
PlackettLuceRPC,2,3,0.2444155445943276,2
PlackettLuceRPC,2,4,0.2348169187704722,2
