model,k,fold,ece,k_label
PlackettLuce,1,0,0.12347165195064413,1
PlackettLuce,1,1,0.21541438277603853,1
PlackettLuce,1,2,0.16459201683324795,1
PlackettLuce,1,3,0.11962393385668595,1
PlackettLuce,1,4,0.12175355752309162,1
PlackettLuce,2,0,0.0819733058570246,2
PlackettLuce,2,1,0.11028374991966065,2
PlackettLuce,2,2,0.11103948568968379,2
PlackettLuce,2,3,0.09146996172854588,2
PlackettLuce,2,4,0.07514369315024289,2
MallowsModel,1,0,0.20252025872468948,1
MallowsModel,1,1,0.2567994787047307,1
MallowsModel,1,2,0.12392364193995793,1
MallowsModel,1,3,0.22936208546161652,1
MallowsModel,1,4,0.2012188583612442,1
MallowsModel,2,0,0.11459781943509977,2
MallowsModel,2,1,0.12839972165723643,2
MallowsModel,2,2,0.077125311208268,2
MallowsModel,2,3,0.12504855853815874,2
MallowsModel,2,4,0.1125858702386419,2
PreferenceModel,1,0,0.08401482445360332,1
PreferenceModel,1,1,0.16823171185226074,1
PreferenceModel,1,2,0.09332441253139188,1
PreferenceModel,1,3,0.10269038304686547,1
PreferenceModel,1,4,0.08558307389418285,1
PreferenceModel,2,0,0.04265523229561815,2
PreferenceModel,2,1,0.08453559978537399,2
PreferenceModel,2,2,0.04909671568613569,2
PreferenceModel,2,3,0.06619219238027221,2
PreferenceModel,2,4,0.052769147121303143,2
PlackettLuceRPC,1,0,0.23090324561215106,1
PlackettLuceRPC,1,1,0.23993154594467744,1
PlackettLuceRPC,1,2,0.1982061813619954,1
PlackettLuceRPC,1,3,0.2050360916625886,1
PlackettLuceRPC,1,4,0.23689624672489507,1
PlackettLuceRPC,2,0,0.12282410696907729,2
PlackettLuceRPC,2,1,0.13128406920090868,2
PlackettLuceRPC,2,2,0.1212582920798687,2
PlackettLuceRPC,2,3,0.13386994440640723,2
PlackettLuceRPC,2,4,0.14938141626438925,2
