model,k,fold,ece,k_label
PlackettLuce,1,0,0.15284036076627672,1
PlackettLuce,1,1,0.20537023946504904,1
PlackettLuce,1,2,0.18663487852447566,1
PlackettLuce,1,3,0.16254902148530595,1
PlackettLuce,1,4,0.15872226201352618,1
PlackettLuce,2,0,0.09008671217102178,2
PlackettLuce,2,1,0.13053055125702587,2
PlackettLuce,2,2,0.1184738760758019,2
PlackettLuce,2,3,0.10093444531694763,2
PlackettLuce,2,4,0.0824285964326312,2
MallowsModel,1,0,0.11430337900916736,1
MallowsModel,1,1,0.1313344780355692,1
MallowsModel,1,2,0.12008157248298328,1
MallowsModel,1,3,0.11233402167757352,1
MallowsModel,1,4,0.11233402167757352,1
MallowsModel,2,0,0.13129873046030602,2
MallowsModel,2,1,0.15038317255675793,2
MallowsModel,2,2,0.09204747527837753,2
MallowsModel,2,3,0.1372011307006081,2
MallowsModel,2,4,0.12767732174446186,2
PreferenceModel,1,0,0.0766724396014103,1
PreferenceModel,1,1,0.12967947032302615,1
PreferenceModel,1,2,0.07261373775286806,1
PreferenceModel,1,3,0.11432317887388525,1
PreferenceModel,1,4,0.09214697756937572,1
PreferenceModel,2,0,0.051993858174817574,2
PreferenceModel,2,1,0.10782782154381965,2
PreferenceModel,2,2,0.05662367594885398,2
PreferenceModel,2,3,0.08083216543531134,2
PreferenceModel,2,4,0.06304457047510716,2
PlackettLuceRPC,1,0,0.21296241554601805,1
PlackettLuceRPC,1,1,0.23148106982209207,1
PlackettLuceRPC,1,2,0.23456794302502715,1
PlackettLuceRPC,1,3,0.20317456861140348,1
PlackettLuceRPC,1,4,0.2095237358082842,1
PlackettLuceRPC,2,0,0.16666652922677336,2
PlackettLuceRPC,2,1,0.1574073626807475,2
PlackettLuceRPC,2,2,0.15123479000808326,2
PlackettLuceRPC,2,3,0.16031754763407405,2
PlackettLuceRPC,2,4,0.16190495422553816,2
RPC,1,0,-1.0,1
RPC,1,1,-1.0,1
RPC,1,2,-1.0,1
RPC,1,3,-1.0,1
RPC,1,4,-1.0,1
RPC,2,0,-1.0,2
RPC,2,1,-1.0,2
RPC,2,2,-1.0,2
RPC,2,3,-1.0,2
RPC,2,4,-1.0,2
