model,k,fold,ece,k_label
PlackettLuce,1,0,0.24864420294761658,1
PlackettLuce,1,1,0.45298391580581665,1
PlackettLuce,1,2,0.3491319417953491,1
PlackettLuce,1,3,0.259645938873291,1
PlackettLuce,1,4,0.2525005340576172,1
PlackettLuce,2,0,0.2958507239818573,2
PlackettLuce,2,1,0.4144272804260254,2
PlackettLuce,2,2,0.39053523540496826,2
PlackettLuce,2,3,0.3101716935634613,2
PlackettLuce,2,4,0.30929291248321533,2
MallowsModel,1,0,0.6531294584274292,1
MallowsModel,1,1,0.6326059103012085,1
MallowsModel,1,2,0.4134506285190582,1
MallowsModel,1,3,0.7259114980697632,1
MallowsModel,1,4,0.6446279883384705,1
MallowsModel,2,0,0.6531293392181396,2
MallowsModel,2,1,0.6326059103012085,2
MallowsModel,2,2,0.44646912813186646,2
MallowsModel,2,3,0.7259114980697632,2
MallowsModel,2,4,0.6446279883384705,2
PreferenceModel,1,0,0.12256324291229248,1
PreferenceModel,1,1,0.22275081276893616,1
PreferenceModel,1,2,0.17848671972751617,1
PreferenceModel,1,3,0.1432660073041916,1
PreferenceModel,1,4,0.12325264513492584,1
PreferenceModel,2,0,0.1423732489347458,2
PreferenceModel,2,1,0.21088771522045135,2
PreferenceModel,2,2,0.1623649299144745,2
PreferenceModel,2,3,0.18614809215068817,2
PreferenceModel,2,4,0.14305885136127472,2
PlackettLuceRPC,1,0,0.3682909905910492,1
PlackettLuceRPC,1,1,0.5224806070327759,1
PlackettLuceRPC,1,2,0.43152666091918945,1
PlackettLuceRPC,1,3,0.45020267367362976,1
PlackettLuceRPC,1,4,0.3960851728916168,1
PlackettLuceRPC,2,0,0.39891523122787476,2
PlackettLuceRPC,2,1,0.49473926424980164,2
PlackettLuceRPC,2,2,0.451966792345047,2
PlackettLuceRPC,2,3,0.48984846472740173,2
PlackettLuceRPC,2,4,0.41766414046287537,2
