model,k,fold,ece,k_label
PlackettLuce,1,0,0.5696592926979065,1
PlackettLuce,1,1,0.5896552801132202,1
PlackettLuce,1,2,0.6432483196258545,1
PlackettLuce,1,3,0.5554481744766235,1
PlackettLuce,1,4,0.6193715333938599,1
PlackettLuce,2,0,0.5982131958007812,2
PlackettLuce,2,1,0.6159327030181885,2
PlackettLuce,2,2,0.6794012784957886,2
PlackettLuce,2,3,0.6043539047241211,2
PlackettLuce,2,4,0.632071852684021,2
PlackettLuce,3,0,0.6713042855262756,3
PlackettLuce,3,1,0.6930239200592041,3
PlackettLuce,3,2,0.7511734962463379,3
PlackettLuce,3,3,0.6670798063278198,3
PlackettLuce,3,4,0.664861261844635,3
PlackettLuce,4,0,0.7311898469924927,4
PlackettLuce,4,1,0.7553436756134033,4
PlackettLuce,4,2,0.7822677493095398,4
PlackettLuce,4,3,0.7021600008010864,4
PlackettLuce,4,4,0.7221313714981079,4
PlackettLuce,5,0,0.7957783341407776,5
PlackettLuce,5,1,0.8152275085449219,5
PlackettLuce,5,2,0.8485420942306519,5
PlackettLuce,5,3,0.7734882235527039,5
PlackettLuce,5,4,0.7624560594558716,5
PlackettLuce,6,0,0.8684353232383728,6
PlackettLuce,6,1,0.8657400012016296,6
PlackettLuce,6,2,0.8796384334564209,6
PlackettLuce,6,3,0.8283604979515076,6
PlackettLuce,6,4,0.799105703830719,6
PlackettLuce,7,0,0.9017941355705261,7
PlackettLuce,7,1,0.8933955430984497,7
PlackettLuce,7,2,0.8940780758857727,7
PlackettLuce,7,3,0.8663262128829956,7
PlackettLuce,7,4,0.8274518251419067,7
PlackettLuce,8,0,0.9194603562355042,8
PlackettLuce,8,1,0.9043684005737305,8
PlackettLuce,8,2,0.907446563243866,8
PlackettLuce,8,3,0.884564995765686,8
PlackettLuce,8,4,0.8521884679794312,8
PlackettLuce,9,0,0.9243224263191223,9
PlackettLuce,9,1,0.9043663144111633,9
PlackettLuce,9,2,0.907444953918457,9
PlackettLuce,9,3,0.8845649361610413,9
PlackettLuce,9,4,0.8521900177001953,9
MallowsModel,1,0,0.9763115644454956,1
MallowsModel,1,1,0.9848777055740356,1
MallowsModel,1,2,0.9799436926841736,1
MallowsModel,1,3,0.983886182308197,1
MallowsModel,1,4,0.97867351770401,1
MallowsModel,2,0,0.9763118028640747,2
MallowsModel,2,1,0.9848777055740356,2
MallowsModel,2,2,0.9799436926841736,2
MallowsModel,2,3,0.983886182308197,2
MallowsModel,2,4,0.97867351770401,2
MallowsModel,3,0,0.976311981678009,3
MallowsModel,3,1,0.9848777055740356,3
MallowsModel,3,2,0.9799438118934631,3
MallowsModel,3,3,0.9838876724243164,3
MallowsModel,3,4,0.9786739349365234,3
MallowsModel,4,0,0.9763177037239075,4
MallowsModel,4,1,0.9848804473876953,4
MallowsModel,4,2,0.979951798915863,4
MallowsModel,4,3,0.9838912487030029,4
MallowsModel,4,4,0.9786761999130249,4
MallowsModel,5,0,0.9763263463973999,5
MallowsModel,5,1,0.984886884689331,5
MallowsModel,5,2,0.979956865310669,5
MallowsModel,5,3,0.9838941693305969,5
MallowsModel,5,4,0.9786801338195801,5
MallowsModel,6,0,0.9763498306274414,6
MallowsModel,6,1,0.9849107265472412,6
MallowsModel,6,2,0.9799627661705017,6
MallowsModel,6,3,0.983913004398346,6
MallowsModel,6,4,0.9786912798881531,6
MallowsModel,7,0,0.9763650298118591,7
MallowsModel,7,1,0.9849167466163635,7
MallowsModel,7,2,0.9799726009368896,7
MallowsModel,7,3,0.9839314818382263,7
MallowsModel,7,4,0.9787024259567261,7
MallowsModel,8,0,0.9764170050621033,8
